Country,Region,Internet_Pen_2023_Pct,Fixed_Broadband_2023_per100,EGDI_2024,HiTech_Exports_Pct,Audit_Notes
Iceland,North,97.94860077,37.42459193,0.967,43.42454228,2023 data used for all three
Norway,North,99.00000258,45.43770826,0.931,25.67461438,2023 data used for all three
Netherlands,North,97.00680272,43.26444447,0.953,24.51064653,2023 data used for all three
Denmark,North,98.77559197,44.035207,0.984,17.13215758,2023 data used for all three
Switzerland,North,97.34436623,46.83646277,0.9,29.3340287,2023 data used for all three
Canada,North,94.14530182,42.52417708,0.845,16.37179544,2023 data used for all three
South Korea,North,97.41597478,46.5676352,0.967,30.27627999,2023 data used for all three
France,North,86.83635789,48.66883401,0.874,22.38354497,2023 data used for all three
Finland,North,93.51385075,35.33180925,0.957,9.714022595,2023 data used for all three
Germany,North,92.4763763,45.38052251,0.938,17.78183748,2023 data used for all three
Australia,North,96.1160965,36.62742649,0.957,25.25827771,2023 data used for all three
Japan,North,85.00990295,38.63123837,0.935,17.10280607,2023 data used for all three
China,South,90.6,44.7288865,0.871,26.56821365,2023 data used for all three
Indonesia,South,69.20836554,4.816639558,0.799,9.083086878,2023 data used for all three
Morocco,South,91.0,7.021843285,0.684,5.430705673,2023 data used for all three
Pakistan,South,18.935,1.356224258,0.509,1.90280939,Internet carried forward from 2020
Burkina Faso,South,25.36120033,0.459463342,0.289,3.797846598,2023 data used for all three
Philippines,South,77.86699677,6.539308551,0.762,63.9779289,2023 data used for all three
Nepal,South,45.80680084,10.67513455,0.578,0.617520704,Hi-Tech carried forward from 2022
Bangladesh,South,44.50274195,7.892458484,0.656,,Hi-Tech missing in 2020-2023 window
