iso3,country,region,year_used,gini,gini_se,source
ISL,Iceland,North,2019,25.3,0.97,"SWIID 9.x (gini_disp), Solt (2020)"
NOR,Norway,North,2023,25.7,0.91,"SWIID 9.x (gini_disp), Solt (2020)"
NLD,Netherlands,North,2023,26.9,1.05,"SWIID 9.x (gini_disp), Solt (2020)"
DNK,Denmark,North,2023,28.8,0.92,"SWIID 9.x (gini_disp), Solt (2020)"
CHE,Switzerland,North,2023,31.0,1.54,"SWIID 9.x (gini_disp), Solt (2020)"
CAN,Canada,North,2023,30.3,0.65,"SWIID 9.x (gini_disp), Solt (2020)"
KOR,South Korea,North,2023,31.4,1.08,"SWIID 9.x (gini_disp), Solt (2020)"
FRA,France,North,2023,29.9,0.91,"SWIID 9.x (gini_disp), Solt (2020)"
FIN,Finland,North,2023,26.2,0.76,"SWIID 9.x (gini_disp), Solt (2020)"
DEU,Germany,North,2023,30.9,1.37,"SWIID 9.x (gini_disp), Solt (2020)"
AUS,Australia,North,2020,32.6,0.95,"SWIID 9.x (gini_disp), Solt (2020)"
JPN,Japan,North,2021,31.5,1.09,"SWIID 9.x (gini_disp), Solt (2020)"
CHN,China,South,2023,40.8,1.91,"SWIID 9.x (gini_disp), Solt (2020)"
IDN,Indonesia,South,2023,45.2,1.78,"SWIID 9.x (gini_disp), Solt (2020)"
MAR,Morocco,South,2020,40.6,3.41,"SWIID 9.x (gini_disp), Solt (2020)"
PAK,Pakistan,South,2023,34.5,3.02,"SWIID 9.x (gini_disp), Solt (2020)"
BFA,Burkina Faso,South,2021,40.7,3.1,"SWIID 9.x (gini_disp), Solt (2020)"
PHL,Philippines,South,2023,37.3,2.22,"SWIID 9.x (gini_disp), Solt (2020)"
NPL,Nepal,South,2022,34.8,3.59,"SWIID 9.x (gini_disp), Solt (2020)"
BGD,Bangladesh,South,2022,33.5,3.3,"SWIID 9.x (gini_disp), Solt (2020)"
