Country,Region,Internet_Pen_2023_Pct,Fixed_Broadband_2023_per100,EGDI_2024,HiTech_Exports_Pct,Audit_Notes,I_penetration,I_broadband,F_egov,T_egov_adjusted,I_hitech,I_digital
Iceland,North,97.94860077,37.42459193,0.967,43.42454228,2023 data used for all three,0.9794860076999999,0.7689642189149294,0.02051399230000006,0.9471629694459,0.6787425449153606,0.8341776271363883
Norway,North,99.00000258,45.43770826,0.931,25.67461438,2023 data used for all three,0.9900000258,0.9336099617809603,0.009999974199999984,0.9216900240198,0.4013042438452552,0.7646537638384919
Netherlands,North,97.00680272,43.26444447,0.953,24.51064653,2023 data used for all three,0.9700680272,0.8889558451536037,0.02993197280000004,0.9244748299215999,0.3831109720402343,0.7434050646702779
Denmark,North,98.77559197,44.035207,0.984,17.13215758,2023 data used for all three,0.9877559197,0.9047927260996652,0.012244080300000015,0.9719518249847999,0.2677823098459194,0.6944745597756667
Switzerland,North,97.34436623,46.83646277,0.9,29.3340287,2023 data used for all three,0.9734436623,0.962350212877023,0.026556337699999988,0.87609929607,0.45850231797672336,0.7832216952321388
Canada,North,94.14530182,42.52417708,0.845,16.37179544,2023 data used for all three,0.9414530182,0.8737455487686956,0.05854698179999995,0.7955278003790001,0.25589755281996945,0.6396998966021207
South Korea,North,97.41597478,46.5676352,0.967,30.27627999,2023 data used for all three,0.9741597478,0.9568266046898048,0.02584025219999997,0.9420124761226,0.47323007341051954,0.8028753112854384
France,North,86.83635789,48.66883401,0.874,22.38354497,2023 data used for all three,0.8683635789,1.0,0.13163642109999996,0.7589497679586,0.34986354442617784,0.6929522847136541
Finland,North,93.51385075,35.33180925,0.957,9.714022595,2023 data used for all three,0.9351385075,0.7259637500816305,0.06486149249999995,0.8949275516775,0.15183396465026863,0.5511082619906896
Germany,North,92.4763763,45.38052251,0.938,17.78183748,2023 data used for all three,0.924763763,0.9324349644512883,0.07523623700000004,0.8674284096939999,0.2779370602601673,0.6752387602881256
Australia,North,96.1160965,36.62742649,0.957,25.25827771,2023 data used for all three,0.9611609649999999,0.7525848365809247,0.03883903500000008,0.9198310435049999,0.3947967391923498,0.7159097910003723
Japan,North,85.00990295,38.63123837,0.935,17.10280607,2023 data used for all three,0.8500990294999999,0.7937572197037313,0.14990097050000006,0.7948425925825,0.2673235342884005,0.6153452940393411
China,South,90.6,44.7288865,0.871,26.56821365,2023 data used for all three,0.9059999999999999,0.9190457797038972,0.09400000000000008,0.7891259999999999,0.4152715492170301,0.7227464520088864
Indonesia,South,69.20836554,4.816639558,0.799,9.083086878,2023 data used for all three,0.6920836554,0.09896763824278848,0.30791634459999995,0.5529748406646001,0.14197219313237255,0.2707946723020488
Morocco,South,91.0,7.021843285,0.684,5.430705673,2023 data used for all three,0.91,0.14427802571882492,0.08999999999999997,0.6224400000000001,0.08488404933345693,0.2885966540127461
Pakistan,South,18.935,1.356224258,0.509,1.90280939,Internet carried forward from 2020,0.18935,0.027866380725729657,0.81065,0.09637915000000001,0.029741653453242686,0.06236250031620479
Burkina Faso,South,25.36120033,0.459463342,0.289,3.797846598,2023 data used for all three,0.2536120033,0.009440607143076285,0.7463879967,0.07329386895369999,0.059361824668256805,0.05681148674410691
Philippines,South,77.86699677,6.539308551,0.762,63.9779289,2023 data used for all three,0.7786699677,0.13436336998861256,0.22133003230000003,0.5933465153874,1.0,0.4991552890207798
Nepal,South,45.80680084,10.67513455,0.578,0.617520704,Hi-Tech carried forward from 2022,0.4580680084,0.21934231150486524,0.5419319916,0.26476330885519994,0.00965208962867818,0.12658518507200223
Bangladesh,South,44.50274195,7.892458484,0.656,,Hi-Tech missing in 2020-2023 window,0.4450274195,0.16216658246586171,0.5549725805,0.29193798719200004,,
