iso3,country,region,year_used,gini,gini_se,source,Country,Shadow Economy,T_x,I_x,S_bal,S_int
ISL,Iceland,North,2019,25.3,0.97,"SWIID 9.x (gini_disp), Solt (2020)",Iceland,7.6,0.253,0.076,0.5885,0.233772
NOR,Norway,North,2023,25.7,0.91,"SWIID 9.x (gini_disp), Solt (2020)",Norway,6.4,0.257,0.064,0.5965,0.240552
NLD,Netherlands,North,2023,26.9,1.05,"SWIID 9.x (gini_disp), Solt (2020)",Netherlands,6.3,0.26899999999999996,0.063,0.603,0.25205299999999997
DNK,Denmark,North,2023,28.8,0.92,"SWIID 9.x (gini_disp), Solt (2020)",Denmark,5.9,0.28800000000000003,0.059000000000000004,0.6145,0.271008
CHE,Switzerland,North,2023,31.0,1.54,"SWIID 9.x (gini_disp), Solt (2020)",Switzerland,5.1,0.31,0.051,0.6295,0.29419
CAN,Canada,North,2023,30.3,0.65,"SWIID 9.x (gini_disp), Solt (2020)",Canada,4.5,0.303,0.045,0.629,0.289365
KOR,South Korea,North,2023,31.4,1.08,"SWIID 9.x (gini_disp), Solt (2020)",South Korea,7.6,0.314,0.076,0.619,0.290136
FRA,France,North,2023,29.9,0.91,"SWIID 9.x (gini_disp), Solt (2020)",France,6.7,0.299,0.067,0.616,0.278967
FIN,Finland,North,2023,26.2,0.76,"SWIID 9.x (gini_disp), Solt (2020)",Finland,6.6,0.262,0.066,0.598,0.24470799999999998
DEU,Germany,North,2023,30.9,1.37,"SWIID 9.x (gini_disp), Solt (2020)",Germany,6.8,0.309,0.068,0.6204999999999999,0.28798799999999997
AUS,Australia,North,2020,32.6,0.95,"SWIID 9.x (gini_disp), Solt (2020)",Australia,5.7,0.326,0.057,0.6345,0.30741799999999997
JPN,Japan,North,2021,31.5,1.09,"SWIID 9.x (gini_disp), Solt (2020)",Japan,6.7,0.315,0.067,0.624,0.293895
CHN,China,South,2023,40.8,1.91,"SWIID 9.x (gini_disp), Solt (2020)",China,20.3,0.408,0.203,0.6024999999999999,0.32517599999999997
IDN,Indonesia,South,2023,45.2,1.78,"SWIID 9.x (gini_disp), Solt (2020)",Indonesia,23.8,0.452,0.23800000000000002,0.607,0.344424
MAR,Morocco,South,2020,40.6,3.41,"SWIID 9.x (gini_disp), Solt (2020)",Morocco,27.0,0.406,0.27,0.5680000000000001,0.29638000000000003
PAK,Pakistan,South,2023,34.5,3.02,"SWIID 9.x (gini_disp), Solt (2020)",Pakistan,35.0,0.345,0.35,0.4975,0.22424999999999998
BFA,Burkina Faso,South,2021,40.7,3.1,"SWIID 9.x (gini_disp), Solt (2020)",Burkina Faso,43.8,0.40700000000000003,0.43799999999999994,0.48450000000000004,0.22873400000000005
PHL,Philippines,South,2023,37.3,2.22,"SWIID 9.x (gini_disp), Solt (2020)",Philippines,20.7,0.373,0.207,0.583,0.295789
NPL,Nepal,South,2022,34.8,3.59,"SWIID 9.x (gini_disp), Solt (2020)",Nepal,51.0,0.348,0.51,0.419,0.17051999999999998
BGD,Bangladesh,South,2022,33.5,3.3,"SWIID 9.x (gini_disp), Solt (2020)",Bangladesh,29.0,0.335,0.29,0.5225,0.23785
