Country,Region,I_digital,I_health,I_education,I_income_adj,standard_hdi_score,source_note,HDI_FN
Iceland,North,0.8341776271363883,0.965,0.963,0.988,0.972,digital_access.docx Part 6 Table 4 (extracted/approximated from UNDP HDR 2023),0.9354967233906979
Norway,North,0.7646537638384919,0.974,0.937,1.0,0.97,,0.9139887382482828
Netherlands,North,0.7434050646702779,0.957,0.923,0.986,0.955,,0.8970239060435384
Denmark,North,0.6944745597756667,0.952,0.933,1.0,0.962,,0.8862244616930837
Switzerland,North,0.7832216952321388,0.985,0.928,1.0,0.97,,0.9198504579570833
Canada,North,0.6396998966021207,0.963,0.905,0.951,0.939,,0.8533121234940084
South Korea,North,0.8028753112854384,0.989,0.884,0.937,0.937,,0.9005525550120803
France,North,0.6929522847136541,0.974,0.841,0.952,0.92,,0.8573809070600105
Finland,North,0.5511082619906896,0.952,0.933,0.958,0.948,,0.8275233476624374
Germany,North,0.6752387602881256,0.945,0.957,0.976,0.959,,0.8786435634884803
Australia,North,0.7159097910003723,0.983,0.93,0.961,0.958,,0.8905422715124346
Japan,North,0.6153452940393411,0.995,0.854,0.931,0.925,,0.8352901863580227
China,South,0.7227464520088864,0.892,0.697,0.814,0.797,,0.777681918375711
Indonesia,South,0.2707946723020488,0.789,0.632,0.713,0.728,,0.5570330091630291
Morocco,South,0.2885966540127461,0.863,0.646,0.661,0.71,,0.5710629916989426
Pakistan,South,0.06236250031620479,0.732,0.363,0.605,0.544,,0.316427448964986
Burkina Faso,South,0.05681148674410691,0.632,0.318,0.479,0.459,,0.27194367774953365
Philippines,South,0.4991552890207798,0.769,0.611,0.683,0.72,,0.6326390314447444
Nepal,South,0.12658518507200223,0.775,0.533,0.583,0.622,,0.41784969239923586
Bangladesh,South,,0.842,0.568,0.671,0.685,,
