iso3,country,region,wb_income_group,digital_year_used,internet_pen,broadband_per100,egdi_2024,hitech_exports_pct,digital_audit_notes,gini_year,gini,gini_se,gini_source
ISL,Iceland,North,High income,2023,97.94860077,37.42459193,0.967,43.42454228,2023 data used for all three,2019,25.3,0.97,"SWIID 9.x (gini_disp), Solt (2020)"
NOR,Norway,North,High income,2023,99.00000258,45.43770826,0.931,25.67461438,2023 data used for all three,2023,25.7,0.91,"SWIID 9.x (gini_disp), Solt (2020)"
NLD,Netherlands,North,High income,2023,97.00680272,43.26444447,0.953,24.51064653,2023 data used for all three,2023,26.9,1.05,"SWIID 9.x (gini_disp), Solt (2020)"
DNK,Denmark,North,High income,2023,98.77559197,44.035207,0.984,17.13215758,2023 data used for all three,2023,28.8,0.92,"SWIID 9.x (gini_disp), Solt (2020)"
CHE,Switzerland,North,High income,2023,97.34436623,46.83646277,0.9,29.3340287,2023 data used for all three,2023,31.0,1.54,"SWIID 9.x (gini_disp), Solt (2020)"
CAN,Canada,North,High income,2023,94.14530182,42.52417708,0.845,16.37179544,2023 data used for all three,2023,30.3,0.65,"SWIID 9.x (gini_disp), Solt (2020)"
KOR,South Korea,North,High income,2023,97.41597478,46.5676352,0.967,30.27627999,2023 data used for all three,2023,31.4,1.08,"SWIID 9.x (gini_disp), Solt (2020)"
FRA,France,North,High income,2023,86.83635789,48.66883401,0.874,22.38354497,2023 data used for all three,2023,29.9,0.91,"SWIID 9.x (gini_disp), Solt (2020)"
FIN,Finland,North,High income,2023,93.51385075,35.33180925,0.957,9.714022595,2023 data used for all three,2023,26.2,0.76,"SWIID 9.x (gini_disp), Solt (2020)"
DEU,Germany,North,High income,2023,92.4763763,45.38052251,0.938,17.78183748,2023 data used for all three,2023,30.9,1.37,"SWIID 9.x (gini_disp), Solt (2020)"
AUS,Australia,North,High income,2023,96.1160965,36.62742649,0.957,25.25827771,2023 data used for all three,2020,32.6,0.95,"SWIID 9.x (gini_disp), Solt (2020)"
JPN,Japan,North,High income,2023,85.00990295,38.63123837,0.935,17.10280607,2023 data used for all three,2021,31.5,1.09,"SWIID 9.x (gini_disp), Solt (2020)"
CHN,China,South,Upper middle income,2023,90.6,44.7288865,0.871,26.56821365,2023 data used for all three,2023,40.8,1.91,"SWIID 9.x (gini_disp), Solt (2020)"
IDN,Indonesia,South,Upper middle income,2023,69.20836554,4.816639558,0.799,9.083086878,2023 data used for all three,2023,45.2,1.78,"SWIID 9.x (gini_disp), Solt (2020)"
MAR,Morocco,South,Lower middle income,2023,91.0,7.021843285,0.684,5.430705673,2023 data used for all three,2020,40.6,3.41,"SWIID 9.x (gini_disp), Solt (2020)"
PAK,Pakistan,South,Lower middle income,2023,18.935,1.356224258,0.509,1.90280939,Internet carried forward from 2020,2023,34.5,3.02,"SWIID 9.x (gini_disp), Solt (2020)"
BFA,Burkina Faso,South,Low income,2023,25.36120033,0.459463342,0.289,3.797846598,2023 data used for all three,2021,40.7,3.1,"SWIID 9.x (gini_disp), Solt (2020)"
PHL,Philippines,South,Lower middle income,2023,77.86699677,6.539308551,0.762,63.9779289,2023 data used for all three,2023,37.3,2.22,"SWIID 9.x (gini_disp), Solt (2020)"
NPL,Nepal,South,Lower middle income,2023,45.80680084,10.67513455,0.578,0.617520704,Hi-Tech carried forward from 2022,2022,34.8,3.59,"SWIID 9.x (gini_disp), Solt (2020)"
BGD,Bangladesh,South,Lower middle income,2023,44.50274195,7.892458484,0.656,,Hi-Tech missing in 2020-2023 window,2022,33.5,3.3,"SWIID 9.x (gini_disp), Solt (2020)"
