Country,Region,Internet_Pen_2023_Pct,Fixed_Broadband_2023_per100,EGDI_2024,HiTech_Exports_Pct,Audit_Notes
Iceland,North,99.0,38.41,0.967,15.0,Broadband updated to series i992b
Norway,North,99.0,45.44,0.931,16.0,Broadband updated to series i992b
Netherlands,North,97.01,42.85,0.953,19.0,Broadband updated to series i992b
Denmark,North,98.0,44.04,0.984,21.0,Broadband updated to series i992b
Switzerland,North,94.0,46.84,0.900,28.0,Broadband updated to series i992b
Canada,North,93.0,42.52,0.845,14.0,Broadband updated to series i992b
South Korea,North,97.0,46.57,0.967,36.0,Broadband updated to series i992b
France,North,86.0,48.93,0.874,20.0,Used 2024 data as 2023 was missing
Finland,North,93.0,35.33,0.957,10.0,Broadband updated to series i992b
Germany,North,91.0,45.61,0.938,15.0,Used 2024 data as 2023 was missing
Australia,North,90.0,36.63,0.957,14.0,Broadband updated to series i992b
Japan,North,85.01,38.63,0.935,17.0,Broadband updated to series i992b
China,South,73.0,44.73,0.871,30.0,Broadband updated to series i992b
Indonesia,South,69.21,4.82,0.799,9.0,Broadband updated to series i992b
Morocco,South,84.0,7.02,0.684,6.0,Broadband updated to series i992b
Pakistan,South,25.0,1.36,0.509,2.0,Broadband updated to series i992b
Burkina Faso,South,18.0,0.46,0.289,0.0,Broadband updated to series i992b
Philippines,South,53.0,7.0,0.762,58.0,Raw WB data retained (Route B)
Nepal,South,45.81,4.0,0.578,0.0,Hi-Tech carried forward from 2022
Bangladesh,South,44.50,7.89,0.656,Missing,Dropped 2018 Hi-Tech (exceeds 3-year rule)
