Ranking,Country,Shadow Economy,Shadow Economy Value,GDP 2023
,,% of GDP in 2023,(B),(B)
1,🇸🇱 Sierra Leone,64.5,$4.1,$6.4
2,🇳🇪 Niger,56.3,$9.5,$16.8
3,🇳🇵 Nepal,51,$20.9,$40.9
4,🇪🇹 Ethiopia,50.2,$80.2,$159.8
5,🇧🇮 Burundi,49.2,$2.1,$4.2
6,🇲🇱 Mali,46.8,$9.5,$20.2
7,🇹🇿 Tanzania,44.7,$35.4,$79.1
8,🇧🇫 Burkina Faso,43.8,$8.9,$20.3
9,🇨🇩 DRC,42.1,$28.2,$66.9
10,🇲🇿 Mozambique,39.8,$8.4,$21.0
11,🇰🇪 Kenya,38.4,$41.8,$108.8
12,🇲🇲 Myanmar,37.9,$24.4,$64.5
13,🇿🇲 Zambia,35.6,$10.0,$28.2
14,🇵🇰 Pakistan,35,$118.1,$337.5
15,🇸🇩 Sudan,34.9,$13.3,$38.1
16,🇨🇲 Cameroon,33.3,$16.4,$49.3
17,🇹🇯 Tajikistan,33.2,$4.0,$11.9
18,🇧🇯 Benin,32.9,$6.5,$19.7
19,🇨🇬 Congo,32.6,$4.6,$14.2
20,🇧🇴 Bolivia,32.1,$14.6,$45.5
21,🇵🇬 Papua New Guinea,31.4,$9.6,$30.7
22,🇺🇬 Uganda,31.1,$15.2,$48.8
23,🇱🇸 Lesotho,30.9,$0.6,$2.1
24,🇲🇼 Malawi,30.9,$3.9,$12.7
25,🇳🇮 Nicaragua,30.7,$5.5,$17.8
26,🇦🇴 Angola,30.2,$25.6,$84.8
27,🇳🇬 Nigeria,30,$109.1,$363.8
28,🇧🇩 Bangladesh,29,$126.8,$437.4
29,🇨🇮 Cote d'Ivoire,28.8,$22.7,$78.9
30,🇹🇬 Togo,28.1,$2.6,$9.2
31,🇦🇱 Albania,27.8,$6.5,$23.5
32,🇵🇪 Peru,27.1,$72.5,$267.6
33,🇲🇦 Morocco,27,$39.0,$144.4
34,🇬🇭 Ghana,26.8,$20.5,$76.4
35,🇭🇳 Honduras,26.7,$9.2,$34.4
36,🇪🇨 Ecuador,26.5,$31.5,$118.8
37,🇰🇭 Cambodia,26.4,$11.2,$42.3
38,🇿🇦 South Africa,26.3,$100.1,$380.7
39,🇮🇳 India,26.1,$931.1,"$3,567.6"
40,🇻🇳 Vietnam,25.1,$107.9,$429.7
41,🇮🇶 Iraq,24.8,$62.2,$250.8
42,🇺🇿 Uzbekistan,24.4,$24.8,$101.6
43,🇬🇹 Guatemala,24.3,$25.4,$104.5
44,🇩🇿 Algeria,24.2,$59.9,$247.6
45,🇹🇭 Thailand,24,$123.6,$515.0
46,🇮🇩 Indonesia,23.8,$326.3,"$1,371.2"
47,🇬🇦 Gabon,23.1,$4.5,$19.4
48,🇮🇷 Iran,22.5,$91.0,$404.6
49,🇬🇪 Georgia,22.1,$6.8,$30.8
50,🇪🇬 Egypt,21.2,$84.0,$396.0
51,🇹🇳 Tunisia,21.2,$10.3,$48.5
52,🇨🇴 Colombia,20.9,$76.0,$363.5
53,🇵🇾 Paraguay,20.9,$9.0,$43.0
54,🇵🇭 Philippines,20.7,$90.5,$437.1
55,🇧🇷 Brazil,20.6,$447.8,"$2,173.7"
56,🇨🇳 China,20.3,"$3,612.3","$17,794.8"
57,🇱🇰 SriLanka,20.1,$17.0,$84.4
58,🇸🇻 El Salvador,19.9,$6.8,$34.0
59,🇹🇲 Turkmenistan,19.7,$11.9,$60.6
60,🇱🇧 Lebanon,19.6,N/A,N/A
61,🇺🇦 Ukraine,19.3,$34.5,$178.8
62,🇦🇲 Armenia,18.9,$4.6,$24.1
63,🇧🇦 Bosnia and Herzegovina,18.6,$5.1,$27.5
64,🇧🇾 Belarus,18.3,$13.2,$71.9
65,🇯🇴 Jordan,18.3,$9.3,$51.0
66,🇲🇽 Mexico,17.9,$320.2,"$1,789.1"
67,🇦🇷 Argentina,17.8,$115.0,$646.1
68,🇦🇿 Azerbaijan,17.7,$12.8,$72.4
69,🇷🇸 Serbia,17.2,$14.0,$81.3
70,🇧🇼 Botswana,17,$3.3,$19.4
71,🇲🇰 North Macedonia,16.9,$2.7,$15.8
72,🇱🇾 Libya,16.3,$7.4,$45.1
73,🇩🇴 Dominican Republic,16.2,$19.7,$121.4
74,🇹🇷 Türkiye,16.1,$180.0,"$1,118.3"
