iso3,Country,year,tiva_dva_hitech_C26_pct,tiva_dva_total_pct
AUS,Australia,2022,77.133,91.06
BGD,Bangladesh,2022,86.672,88.58
CAN,Canada,2022,67.656,78.831
CHN,China,2022,71.219,83.013
DNK,Denmark,2022,69.792,65.999
FIN,Finland,2022,66.506,64.953
FRA,France,2022,68.511,73.836
DEU,Germany,2022,71.042,74.125
ISL,Iceland,2022,60.779,71.573
IDN,Indonesia,2022,67.34,87.739
JPN,Japan,2022,74.078,79.018
MAR,Morocco,2022,56.205,66.592
NLD,Netherlands,2022,69.882,67.513
NOR,Norway,2022,67.062,89.649
PAK,Pakistan,2022,80.048,90.391
PHL,Philippines,2022,47.15,73.044
KOR,South Korea,2022,68.397,63.347
CHE,Switzerland,2022,76.611,73.993
