Country,I_health,I_education,I_income_adj,standard_hdi_score,source_note
Iceland,0.965,0.963,0.988,0.972,digital_access.docx Part 6 Table 4 (extracted/approximated from UNDP HDR 2023)
Norway,0.974,0.937,1.000,0.970,
Netherlands,0.957,0.923,0.986,0.955,
Denmark,0.952,0.933,1.000,0.962,
Switzerland,0.985,0.928,1.000,0.970,
Canada,0.963,0.905,0.951,0.939,
South Korea,0.989,0.884,0.937,0.937,
France,0.974,0.841,0.952,0.920,
Finland,0.952,0.933,0.958,0.948,
Germany,0.945,0.957,0.976,0.959,
Australia,0.983,0.930,0.961,0.958,
Japan,0.995,0.854,0.931,0.925,
China,0.892,0.697,0.814,0.797,
Indonesia,0.789,0.632,0.713,0.728,
Morocco,0.863,0.646,0.661,0.710,
Pakistan,0.732,0.363,0.605,0.544,
Burkina Faso,0.632,0.318,0.479,0.459,
Philippines,0.769,0.611,0.683,0.720,
Nepal,0.775,0.533,0.583,0.622,
Bangladesh,0.842,0.568,0.671,0.685,
