Noise Level,Country,Rank 2.5th pct,Rank Median,Rank 97.5th pct,N replicates scored
1%,Iceland,1.0,1.0,1.0,1000
1%,Switzerland,2.0,2.0,3.0,1000
1%,Norway,2.0,3.0,3.0,1000
1%,South Korea,4.0,4.0,6.0,1000
1%,Netherlands,4.0,5.0,7.0,1000
1%,Australia,4.975000000000001,6.0,7.0,1000
1%,Denmark,5.0,7.0,8.0,1000
1%,Germany,7.0,8.0,8.0,1000
1%,France,9.0,9.0,10.0,1000
1%,Canada,9.0,10.0,10.0,1000
1%,Japan,11.0,11.0,12.0,1000
1%,Finland,11.0,12.0,12.0,1000
1%,China,13.0,13.0,13.0,1000
1%,Philippines,14.0,14.0,14.0,1000
1%,Morocco,15.0,15.0,15.0,1000
1%,Indonesia,16.0,16.0,16.0,1000
1%,Nepal,17.0,17.0,17.0,1000
1%,Pakistan,18.0,18.0,18.0,1000
1%,Burkina Faso,19.0,19.0,19.0,1000
1%,Bangladesh,,,,0
3%,Iceland,1.0,1.0,4.0,1000
3%,Switzerland,1.0,2.0,6.0,1000
3%,Norway,1.0,3.0,6.0,1000
3%,South Korea,2.0,4.0,8.0,1000
3%,Netherlands,2.0,5.0,8.0,1000
3%,Denmark,3.0,6.0,9.0,1000
3%,Australia,3.0,6.0,9.0,1000
3%,Germany,4.0,8.0,10.0,1000
3%,France,7.0,9.0,11.0,1000
3%,Canada,8.0,10.0,12.0,1000
3%,Japan,9.0,11.0,12.0,1000
3%,Finland,10.0,12.0,12.0,1000
3%,China,13.0,13.0,13.0,1000
3%,Philippines,14.0,14.0,14.0,1000
3%,Morocco,15.0,15.0,16.0,1000
3%,Indonesia,15.0,16.0,16.0,1000
3%,Nepal,17.0,17.0,17.0,1000
3%,Pakistan,18.0,18.0,18.0,1000
3%,Burkina Faso,19.0,19.0,19.0,1000
3%,Bangladesh,,,,0
5%,Iceland,1.0,2.0,7.0,1000
5%,Norway,1.0,3.0,8.0,1000
5%,Switzerland,1.0,3.0,7.0,1000
5%,South Korea,1.0,4.0,9.0,1000
5%,Netherlands,1.0,5.0,10.0,1000
5%,Denmark,2.0,6.0,10.0,1000
5%,Australia,2.0,6.0,10.0,1000
5%,Germany,3.0,7.0,11.0,1000
5%,France,4.0,9.0,12.0,1000
5%,Canada,5.0,10.0,12.0,1000
5%,Finland,8.0,11.0,13.0,1000
5%,Japan,7.0,11.0,12.0,1000
5%,China,12.0,13.0,13.0,1000
5%,Philippines,14.0,14.0,14.0,1000
5%,Morocco,15.0,15.0,16.0,1000
5%,Indonesia,15.0,16.0,16.0,1000
5%,Nepal,17.0,17.0,17.0,1000
5%,Pakistan,18.0,18.0,18.0,1000
5%,Burkina Faso,19.0,19.0,19.0,1000
5%,Bangladesh,,,,0
