Country,geometric_score,arithmetic_score,ces_rho-1_score,geometric_rank,arithmetic_rank,ces_rho-1_rank
Iceland,0.9354967233906979,0.9398972338110119,0.9303494700304895,1.0,1.0,1.0
Norway,0.9139887382482828,0.930662765965376,0.887224350548054,3.0,3.0,3.0
Netherlands,0.8970239060435385,0.9144131046447148,0.8687204005783564,5.0,5.0,5.0
Denmark,0.8862244616930837,0.917017673789399,0.8260289277879181,7.0,4.0,7.0
Switzerland,0.9198504579570833,0.9326497180764842,0.9008958645834658,2.0,2.0,2.0
Canada,0.8533121234940084,0.8839139950104791,0.7939973190843939,10.0,9.0,10.0
South Korea,0.9005525550120803,0.9116393063764328,0.8847276738150333,4.0,6.0,4.0
France,0.8573809070600105,0.8778235557052986,0.825075774703834,9.0,11.0,8.0
Finland,0.8275233476624374,0.8799914858693374,0.7013027973490493,12.0,10.0,13.0
Germany,0.8786435634884803,0.907160262337841,0.8240846534154218,8.0,8.0,9.0
Australia,0.8905422715124346,0.9077733490173922,0.8638446111706816,6.0,7.0,6.0
Japan,0.8352901863580227,0.8641263985046646,0.782952864761337,11.0,12.0,11.0
China,0.777681918375711,0.790090208057558,0.7617481961968904,13.0,13.0,12.0
Indonesia,0.5570330091630291,0.626374895464985,0.4276910831508053,16.0,16.0,15.0
Morocco,0.5710629916989426,0.6526001296907676,0.4178014514771023,15.0,15.0,16.0
Pakistan,0.3164274489649859,0.44645857401118577,0.1477914474853975,18.0,18.0,17.0
Burkina Faso,0.2719436777495335,0.3819817690040645,0.09545603496877866,19.0,19.0,19.0
Philippines,0.6326390314447443,0.6723987408172507,0.5514042808977065,14.0,14.0,14.0
Nepal,0.41784969239923564,0.5322391073992965,0.11971506908692249,17.0,17.0,18.0
Bangladesh,,,,,,
