Country,gini_se used,Rank 2.5th pct,Rank Median,Rank 97.5th pct
Indonesia,1.78,1.0,1.0,3.0
China,1.91,1.0,2.0,6.0
Australia,0.95,2.0,4.0,8.0
Switzerland,1.54,2.0,6.0,12.0
Morocco,3.41,1.0,6.0,14.0
Philippines,2.22,2.0,6.0,12.0
Japan,1.09,3.0,7.0,11.0
South Korea,1.08,3.0,7.0,12.0
Germany,1.37,3.0,8.0,12.024999999999977
Canada,0.65,4.0,8.0,11.0
France,0.91,6.0,10.0,13.0
Denmark,0.92,8.0,12.0,13.0
Netherlands,1.05,11.975000000000001,14.0,17.0
Finland,0.76,13.0,15.0,18.0
Bangladesh,3.3,8.975000000000001,16.0,19.0
Norway,0.91,13.0,16.0,18.0
Iceland,0.97,13.0,17.0,19.0
Pakistan,3.02,13.0,18.0,19.0
Burkina Faso,3.1,12.0,18.0,19.0
Nepal,3.59,19.0,20.0,20.0
