Country,Raw EGDI (T),Non-Penetration (F),T_egov_adjusted
Iceland,0.967,0.0205139923,0.9471629694459
Norway,0.931,0.0099999741999999,0.9216900240198
Netherlands,0.953,0.0299319728,0.9244748299216
Denmark,0.984,0.0122440803,0.9719518249848
Switzerland,0.9,0.0265563376999999,0.87609929607
Canada,0.845,0.0585469817999999,0.7955278003790001
South Korea,0.967,0.0258402521999999,0.9420124761226
France,0.874,0.1316364210999999,0.7589497679586
Finland,0.957,0.0648614924999999,0.8949275516775
Germany,0.938,0.075236237,0.8674284096939999
Australia,0.957,0.038839035,0.919831043505
Japan,0.935,0.1499009705,0.7948425925825
China,0.871,0.094,0.7891259999999999
Indonesia,0.799,0.3079163445999999,0.5529748406646001
Morocco,0.684,0.0899999999999999,0.6224400000000001
Pakistan,0.509,0.81065,0.09637915
Burkina Faso,0.289,0.7463879967,0.0732938689536999
Philippines,0.762,0.2213300323,0.5933465153874
Nepal,0.578,0.5419319916,0.2647633088551999
Bangladesh,0.656,0.5549725805,0.291937987192
