Country,I_penetration,I_broadband,T_egov_adjusted,I_hitech,I_digital
Iceland,0.9794860077,0.7689642189149294,0.9471629694459,0.6787425449153606,0.8341776271363883
South Korea,0.9741597478,0.9568266046898048,0.9420124761226,0.4732300734105195,0.8028753112854384
Switzerland,0.9734436623,0.962350212877023,0.87609929607,0.4585023179767233,0.7832216952321388
Norway,0.9900000258,0.9336099617809605,0.9216900240198,0.4013042438452552,0.7646537638384919
Netherlands,0.9700680272,0.8889558451536037,0.9244748299216,0.3831109720402343,0.7434050646702779
China,0.906,0.9190457797038972,0.7891259999999999,0.4152715492170301,0.7227464520088864
Australia,0.961160965,0.7525848365809247,0.919831043505,0.3947967391923498,0.7159097910003723
Denmark,0.9877559197,0.9047927260996652,0.9719518249848,0.2677823098459194,0.6944745597756667
France,0.8683635789,1.0,0.7589497679586,0.3498635444261778,0.6929522847136541
Germany,0.924763763,0.9324349644512884,0.8674284096939999,0.2779370602601673,0.6752387602881256
Canada,0.9414530182,0.8737455487686956,0.7955278003790001,0.2558975528199694,0.6396998966021207
Japan,0.8500990294999999,0.7937572197037313,0.7948425925825,0.2673235342884005,0.6153452940393411
Finland,0.9351385075,0.7259637500816305,0.8949275516775,0.1518339646502686,0.5511082619906896
Philippines,0.7786699677,0.1343633699886125,0.5933465153874,1.0,0.4991552890207798
Morocco,0.91,0.1442780257188249,0.6224400000000001,0.0848840493334569,0.2885966540127461
Indonesia,0.6920836554,0.0989676382427884,0.5529748406646001,0.1419721931323725,0.2707946723020488
Nepal,0.4580680084,0.2193423115048652,0.2647633088551999,0.0096520896286781,0.1265851850720022
Pakistan,0.18935,0.0278663807257296,0.09637915,0.0297416534532426,0.0623625003162047
Burkina Faso,0.2536120033,0.0094406071430762,0.0732938689536999,0.0593618246682568,0.0568114867441069
Bangladesh,0.4450274195,0.1621665824658617,0.291937987192,,
