Country,Region,I_health,I_education,I_income_adj (approx.),I_digital,HDI_FN Score,HDI_FN Rank,Standard HDI Score,Standard HDI Rank,Rank Change (±),Excluded (reason)
Iceland,North,0.965,0.963,0.988,0.8341776271363883,0.935496723390698,1,0.972,1,0,
Switzerland,North,0.985,0.928,1.0,0.7832216952321388,0.9198504579570832,2,0.97,2,0,
Norway,North,0.974,0.937,1.0,0.7646537638384919,0.9139887382482828,3,0.97,2,-1,
South Korea,North,0.989,0.884,0.937,0.8028753112854384,0.9005525550120803,4,0.937,10,6,
Netherlands,North,0.957,0.923,0.986,0.7434050646702779,0.8970239060435384,5,0.955,7,2,
Australia,North,0.983,0.93,0.961,0.7159097910003723,0.8905422715124346,6,0.958,6,0,
Denmark,North,0.952,0.933,1.0,0.6944745597756667,0.8862244616930837,7,0.962,4,-3,
Germany,North,0.945,0.957,0.976,0.6752387602881256,0.8786435634884803,8,0.959,5,-3,
France,North,0.974,0.841,0.952,0.6929522847136541,0.8573809070600105,9,0.92,12,3,
Canada,North,0.963,0.905,0.951,0.6396998966021207,0.8533121234940084,10,0.939,9,-1,
Japan,North,0.995,0.854,0.931,0.6153452940393411,0.8352901863580227,11,0.925,11,0,
Finland,North,0.952,0.933,0.958,0.5511082619906896,0.8275233476624374,12,0.948,8,-4,
China,South,0.892,0.697,0.814,0.7227464520088864,0.777681918375711,13,0.797,13,0,
Philippines,South,0.769,0.611,0.683,0.4991552890207798,0.6326390314447444,14,0.72,15,1,
Morocco,South,0.863,0.646,0.661,0.2885966540127461,0.5710629916989426,15,0.71,16,1,
Indonesia,South,0.789,0.632,0.713,0.2707946723020488,0.5570330091630291,16,0.728,14,-2,
Nepal,South,0.775,0.533,0.583,0.1265851850720022,0.4178496923992358,17,0.622,18,1,
Pakistan,South,0.732,0.363,0.605,0.0623625003162047,0.316427448964986,18,0.544,19,1,
Burkina Faso,South,0.632,0.318,0.479,0.0568114867441069,0.2719436777495336,19,0.459,20,1,
Bangladesh,South,0.842,0.568,0.671,,,,0.685,17,,"Hi-Tech Exports missing in 2020-2023 SWIID/WDI window (Step 1.3); I_digital and HDI_FN not computed for this country, not silently blank"
