Country,Formal Gini (T),"Gini SE (reported, not modeled)",Shadow Econ (I),S_bal,S_int
Indonesia,0.452,1.78,0.238,0.607,0.344424
China,0.408,1.91,0.203,0.6024999999999999,0.3251759999999999
Australia,0.326,0.95,0.057,0.6345,0.3074179999999999
Morocco,0.406,3.41,0.27,0.5680000000000001,0.29638
Philippines,0.373,2.22,0.207,0.583,0.295789
Switzerland,0.31,1.54,0.051,0.6295,0.29419
Japan,0.315,1.09,0.067,0.624,0.293895
South Korea,0.314,1.08,0.076,0.619,0.290136
Canada,0.303,0.65,0.045,0.629,0.289365
Germany,0.309,1.37,0.068,0.6204999999999999,0.2879879999999999
France,0.299,0.91,0.067,0.616,0.278967
Denmark,0.288,0.92,0.059,0.6145,0.271008
Netherlands,0.2689999999999999,1.05,0.063,0.603,0.2520529999999999
Finland,0.262,0.76,0.066,0.598,0.2447079999999999
Norway,0.257,0.91,0.064,0.5965,0.240552
Bangladesh,0.335,3.3,0.29,0.5225,0.23785
Iceland,0.253,0.97,0.076,0.5885,0.233772
Burkina Faso,0.407,3.1,0.4379999999999999,0.4845,0.228734
Pakistan,0.345,3.02,0.35,0.4975,0.2242499999999999
Nepal,0.348,3.59,0.51,0.419,0.1705199999999999
