Country,WDI_HiTech_Gross_Exports_Pct_2023,TiVA_year,TiVA_DVA_HiTech_C26_Pct,TiVA_DVA_Total_Pct,Foreign_Content_Share_C26_Pct,High_ReExport_Flag
Philippines,63.9779289,2022.0,47.15,73.044,52.85,HIGH re-export/foreign content
Morocco,5.430705673,2022.0,56.205,66.592,43.8,HIGH re-export/foreign content
Iceland,43.42454228,2022.0,60.779,71.573,39.22,
Finland,9.714022595,2022.0,66.506,64.953,33.49,
Norway,25.67461438,2022.0,67.062,89.649,32.94,
Indonesia,9.083086878,2022.0,67.34,87.739,32.66,
Canada,16.37179544,2022.0,67.656,78.831,32.34,
South Korea,30.27627999,2022.0,68.397,63.347,31.6,
France,22.38354497,2022.0,68.511,73.836,31.49,
Denmark,17.13215758,2022.0,69.792,65.999,30.21,
Netherlands,24.51064653,2022.0,69.882,67.513,30.12,
Germany,17.78183748,2022.0,71.042,74.125,28.96,
China,26.56821365,2022.0,71.219,83.013,28.78,
Japan,17.10280607,2022.0,74.078,79.018,25.92,
Switzerland,29.3340287,2022.0,76.611,73.993,23.39,
Australia,25.25827771,2022.0,77.133,91.06,22.87,
Pakistan,1.90280939,2022.0,80.048,90.391,19.95,
Bangladesh,,2022.0,86.672,88.58,13.33,
Burkina Faso,3.797846598,,,,,
Nepal,0.617520704,,,,,
