ISO3,Country,M49_Region,M49_Subregion,WB_Region,Global_North_South,EGDI,OSI,TII,HCI,Penetration_Pct,Penetration_Year,p,Broadband_per100,Broadband_Year,HiTech_Pct,HiTech_Year,I_pen,I_bb,I_ht,T_adj_EGDI,T_adj_OSI,Phi_EGDI,Phi_OSI,R_facade,I_egov,Signed_Div,I_health,I_education,I_income,HDI_Standard,Rank_Standard,Tier_I,Tier_II,Tier_III,Exclusion_Reason,I_bb_T2,I_digital_T2,HDIN_T2,Rank_T2,I_digital_A,HDIN_A,Rank_A,I_digital_B,HDIN_B,Rank_B,I_digital_C,HDIN_C,Rank_C
ZMB,Zambia,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.5424,0.4958,0.5088,0.6225,16.45070076,2023,0.1645070076,0.6814,2023,1.1636,2023,0.1645070076,0.0132,0.0182,0.08922860092224,0.08156257436808001,0.45317139907776,0.41423742563192,6.078768403784399,0.013000000000000012,-0.013000000000000012,0.6431,0.5489,0.5215,0.5690,153,1,1,1,,0.013169669173426414,0.057821290961360107,0.32120216155735881,157,0.0433,0.2988,141,0.0432,0.2986,140,0.0687,0.3353,140
KEN,Kenya,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.6314,0.777,0.5902,0.5271,32.07040024,2023,0.32070400239999997,2.3888,2023,3.0417,2023,0.32070400239999997,0.0462,0.0475,0.20249250711535996,0.24918700986479997,0.42890749288464,0.5278129901352,3.1181400684633305,0.18680000000000008,0.18680000000000008,0.6470,0.5724,0.5850,0.6010,146,1,1,1,,0.046169218845730872,0.14419668889449916,0.42041554416688609,140,0.1093,0.3922,121,0.1038,0.3872,122,0.1427,0.4193,122
PAK,Pakistan,Asia,Southern Asia,"Middle East, North Africa, Afghanistan & Pakistan",South,0.5096,0.7042,0.4745,0.35,18.935,2020,0.18935,1.3562,2023,1.9028,2023,0.18935,0.0262,0.0297,0.09649276000000001,0.13334027,0.41310724000000004,0.57085973,5.281225244256667,0.22970000000000007,0.22970000000000007,0.7143,0.3667,0.6018,0.5400,164,1,1,1,,0.026211777712064722,0.078238197828725223,0.33324653728170095,153,0.0614,0.3137,137,0.0576,0.3086,138,0.0922,0.3472,137
RWA,Rwanda,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.5799,0.8207,0.3724,0.5467,28.80579948,2023,0.2880579948,0.4456,2023,4.7847,2022,0.2880579948,0.0086,0.0748,0.16704483118452,0.23640919633236,0.41285516881548,0.5842908036676401,3.471523158710817,0.4483,0.4483,0.7251,0.4788,0.4747,0.5480,161,1,1,1,,0.0086122755850877759,0.074555032612398681,0.33293699912753089,154,0.0746,0.3330,133,0.0643,0.3209,134,0.0968,0.3554,135
UGA,Uganda,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.4464,0.6069,0.2299,0.5023,9.286999702,2023,0.09286999702,0.0913,2023,1.4081,2023,0.09286999702,0.0018,0.0220,0.041457166669728,0.056362801191438,0.40494283333027203,0.550537198808562,10.767740196918982,0.377,0.377,0.6714,0.5272,0.4697,0.5500,159,1,1,1,,0.0017645887812354441,0.018939689476924412,0.23688498744978487,172,0.0197,0.2391,153,0.0175,0.2322,153,0.0344,0.2750,150
BGD,Bangladesh,Asia,Southern Asia,South Asia,South,0.6570,0.7374,0.6501,0.5834,44.50274195,2023,0.4450274195,7.8925,2023,,,0.4450274195,,,0.2923830146115,0.3281632191393,0.3646169853885,0.40923678086070003,2.247052554926899,0.08730000000000004,0.08730000000000004,0.8261,0.5778,0.6308,0.6700,129,1,1,0,HiTech_Pct missing or non-positive,0.15254125910077485,0.27075433086486606,0.53434200302669688,124,,,,,,,,,
CIV,Côte d'Ivoire,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.5587,0.5219,0.6693,0.4848,40.65284979,2023,0.40652849789999995,1.3634,2023,4.4131,2023,0.40652849789999995,0.0264,0.0690,0.22712747177672996,0.21216722305400998,0.33157252822327005,0.30973277694599005,2.4598521509948004,0.14739999999999998,-0.14739999999999998,0.5987,0.4218,0.6019,0.5340,166,1,1,1,,0.0263509347681972,0.13449895063153441,0.37812881023401762,146,0.1138,0.3627,127,0.1094,0.3591,127,0.1455,0.3856,127
LKA,Sri Lanka,Asia,Southern Asia,South Asia,South,0.6667,0.5494,0.7936,0.657,51.2,2023,0.512,8.7655,2023,1.4172,2023,0.512,0.1694,0.0222,0.3413504,0.2812928,0.32534959999999996,0.2681072,1.953125,0.24419999999999997,-0.24419999999999997,0.8709,0.7539,0.7219,0.7800,78,1,1,1,,0.16941405215683775,0.30936648942214634,0.61881108702628185,104,0.1600,0.5248,103,0.1492,0.5157,103,0.1876,0.5461,102
NPL,Nepal,Asia,Southern Asia,South Asia,South,0.5781,0.4481,0.7653,0.521,45.80680084,2023,0.4580680084,10.6751,2023,0.6175,2022,0.4580680084,0.2063,0.0097,0.26480911565604,0.20526027456404,0.31329088434396,0.24283972543596002,2.183081947794021,0.3172,-0.3172,0.7767,0.5008,0.5582,0.6010,146,1,1,1,,0.20632159582219595,0.29250672830105923,0.50200822115726529,128,0.1247,0.4056,120,0.1133,0.3961,120,0.1512,0.4257,120
TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.4327,0.4791,0.3792,0.4399,28.43190002,2023,0.2843190002,0.1050,2023,5.0681,2023,0.2843190002,0.0020,0.0792,0.12302483138654,0.13621723299582,0.30967516861346,0.34288276700418,3.5171761271549378,0.09990000000000004,0.09990000000000004,0.7197,0.4265,0.4909,0.5320,167,1,1,1,,0.0020293737352652971,0.041405074050593599,0.28104721365930324,163,0.0487,0.2927,144,0.0474,0.2908,144,0.0705,0.3210,142
BEN,Benin,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.4578,0.5202,0.4817,0.3715,32.39400101,2023,0.32394001009999995,0.1709,2023,4.4180,2023,0.32394001009999995,0.0033,0.0691,0.14829973662378,0.16851359325401996,0.30950026337622,0.35168640674598,3.086991321915749,0.03849999999999998,0.03849999999999998,0.6147,0.3908,0.5329,0.5040,173,1,1,1,,0.0033030473462556122,0.054138546286101673,0.2885310256889958,161,0.0575,0.2930,143,0.0570,0.2922,143,0.0809,0.3191,144
