Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
2024,Japan ,13,0.9351,0.9863,0.94274,0.9117,0.95091
2024,Morocco ,90,0.68411,0.4384,0.56184,0.60783,0.88273
2024,Nepal ,119,0.57813,0.2192,0.44806,0.521,0.76529
2024,Netherlands ,10,0.95384,0.9315,0.92118,0.96881,0.97151
2024,Norway ,15,0.93153,0.863,0.91172,0.91748,0.96539
2024,Pakistan ,136,0.50955,0.4932,0.70417,0.34996,0.47453
2024,Philippines ,73,0.76212,0.726,0.80543,0.72556,0.75544
2024,Republic of Korea ,4,0.96789,0.9726,1,0.91198,0.9917
2024,Australia ,8,0.9577,0.863,0.92219,1,0.95092
2024,China ,35,0.87184,0.9315,0.92576,0.79023,0.89954
2024,Bangladesh ,100,0.65696,0.6164,0.73744,0.58337,0.6501
2024,Burkina Faso ,175,0.28946,0.2192,0.33764,0.16677,0.36402
2024,Canada ,47,0.84516,0.9178,0.85516,0.87249,0.80782
2024,Denmark ,1,0.98474,0.9863,0.99924,0.95841,0.99662
2024,Finland ,9,0.95746,0.8904,0.90973,0.98359,0.97909
2024,France,34,0.87442,0.8082,0.844,0.85645,0.92281
2024,Germany ,12,0.93821,0.9726,0.92384,0.96724,0.92359
2024,Iceland ,5,0.96707,0.9589,0.90755,0.99531,0.99829
2024,Indonesia ,64,0.79911,0.7945,0.80346,0.72934,0.86448
2024,Switzerland ,26,0.90035,0.8219,0.8408,0.90264,0.95757
