ISO3,Country_UN,EGDI,OSI,TII,HCI,Retrieval_Date
AFG,Afghanistan,0.2083,0.1438,0.2167,0.2643,2026-08-04
ALB,Albania,0.8000,0.8144,0.775,0.8106,2026-08-04
DZA,Algeria,0.5956,0.332,0.8129,0.6418,2026-08-04
AND,Andorra,0.6893,0.478,0.9231,0.6668,2026-08-04
AGO,Angola,0.4149,0.3962,0.3724,0.476,2026-08-04
ATG,Antigua and Barbuda,0.6428,0.4166,0.7943,0.7176,2026-08-04
ARG,Argentina,0.8573,0.7965,0.8425,0.933,2026-08-04
ARM,Armenia,0.8422,0.7922,0.8782,0.8561,2026-08-04
AUS,Australia,0.9577,0.9222,0.9509,1.0,2026-08-04
AUT,Austria,0.9065,0.8383,0.981,0.9003,2026-08-04
AZE,Azerbaijan,0.7607,0.7386,0.8203,0.7233,2026-08-04
BHS,Bahamas,0.7143,0.5402,0.8652,0.7376,2026-08-04
BHR,Bahrain,0.9196,0.9031,0.9877,0.868,2026-08-04
BGD,Bangladesh,0.6570,0.7374,0.6501,0.5834,2026-08-04
BRB,Barbados,0.6815,0.4976,0.7624,0.7845,2026-08-04
BLR,Belarus,0.7445,0.576,0.9156,0.7419,2026-08-04
BEL,Belgium,0.8121,0.7224,0.8698,0.8442,2026-08-04
BLZ,Belize,0.4872,0.4055,0.5292,0.527,2026-08-04
BEN,Benin,0.4578,0.5202,0.4817,0.3715,2026-08-04
BTN,Bhutan,0.6511,0.5886,0.817,0.5478,2026-08-04
BOL,Bolivia,0.6651,0.5987,0.7089,0.6877,2026-08-04
BIH,Bosnia and Herzegovina,0.6329,0.5003,0.7763,0.6222,2026-08-04
BWA,Botswana,0.6118,0.3985,0.865,0.5719,2026-08-04
BRA,Brazil,0.8403,0.9063,0.8069,0.8077,2026-08-04
BRN,Brunei Darussalam,0.7554,0.5802,0.9868,0.6991,2026-08-04
BGR,Bulgaria,0.8145,0.7727,0.9171,0.7538,2026-08-04
BFA,Burkina Faso,0.2895,0.3376,0.364,0.1668,2026-08-04
BDI,Burundi,0.2481,0.3146,0.0331,0.3966,2026-08-04
CPV,Cabo Verde,0.6238,0.6892,0.6128,0.5694,2026-08-04
KHM,Cambodia,0.5754,0.4503,0.7609,0.5149,2026-08-04
CMR,Cameroon,0.4294,0.3989,0.37,0.5193,2026-08-04
CAN,Canada,0.8452,0.8552,0.8078,0.8725,2026-08-04
CAF,Central African Republic,0.0947,0.1128,0.0,0.1713,2026-08-04
TCD,Chad,0.1785,0.2674,0.1195,0.1488,2026-08-04
CHL,Chile,0.8827,0.8612,0.9455,0.8413,2026-08-04
CHN,China,0.8718,0.9258,0.8995,0.7902,2026-08-04
COL,Colombia,0.7793,0.7521,0.8065,0.7793,2026-08-04
COM,Comoros,0.2586,0.023,0.3537,0.3992,2026-08-04
COG,Congo,0.3391,0.276,0.2776,0.4638,2026-08-04
CRI,Costa Rica,0.8009,0.7217,0.8933,0.7877,2026-08-04
HRV,Croatia,0.8818,0.8735,0.918,0.8538,2026-08-04
CUB,Cuba,0.4921,0.2298,0.5318,0.7148,2026-08-04
CYP,Cyprus,0.8619,0.8217,0.8941,0.8698,2026-08-04
CZE,Czech Republic,0.8239,0.7006,0.9204,0.8508,2026-08-04
CIV,Côte d'Ivoire,0.5587,0.5219,0.6693,0.4848,2026-08-04
PRK,Democratic People's Republic of Korea,0.2320,0.0291,0.1745,0.4924,2026-08-04
COD,Democratic Republic of the Congo,0.2715,0.2067,0.1591,0.4487,2026-08-04
DNK,Denmark,0.9847,0.9992,0.9966,0.9584,2026-08-04
DJI,Djibouti,0.2911,0.2092,0.384,0.28,2026-08-04
DMA,Dominica,0.5445,0.3798,0.6757,0.5781,2026-08-04
DOM,Dominican Republic,0.7013,0.6405,0.7444,0.7189,2026-08-04
ECU,Ecuador,0.7800,0.8851,0.6834,0.7715,2026-08-04
EGY,Egypt,0.6699,0.7002,0.6946,0.615,2026-08-04
SLV,El Salvador,0.5988,0.509,0.7526,0.5348,2026-08-04
GNQ,Equatorial Guinea,0.2855,0.1932,0.2532,0.4102,2026-08-04
ERI,Eritrea,0.1576,0.0,0.1405,0.3324,2026-08-04
EST,Estonia,0.9727,0.9954,0.9731,0.9497,2026-08-04
SWZ,Eswatini,0.6081,0.4557,0.7851,0.5836,2026-08-04
ETH,Ethiopia,0.3111,0.342,0.2659,0.3254,2026-08-04
FJI,Fiji,0.6754,0.5343,0.7507,0.7413,2026-08-04
FIN,Finland,0.9575,0.9097,0.9791,0.9836,2026-08-04
FRA,France,0.8744,0.844,0.9228,0.8565,2026-08-04
GAB,Gabon,0.5741,0.3188,0.8263,0.5772,2026-08-04
GMB,Gambia,0.2552,0.0955,0.3877,0.2823,2026-08-04
GEO,Georgia (Country),0.7792,0.5652,0.9071,0.8654,2026-08-04
DEU,Germany,0.9382,0.9238,0.9236,0.9672,2026-08-04
GHA,Ghana,0.6317,0.6084,0.7281,0.5586,2026-08-04
GRC,Greece,0.8674,0.8145,0.8657,0.9219,2026-08-04
GRD,Grenada,0.6458,0.5056,0.6767,0.755,2026-08-04
GTM,Guatemala,0.5738,0.6538,0.5843,0.4834,2026-08-04
GIN,Guinea,0.4006,0.4808,0.4323,0.2887,2026-08-04
GNB,Guinea-Bissau,0.3083,0.127,0.4902,0.3077,2026-08-04
GUY,Guyana,0.5443,0.3455,0.6942,0.5933,2026-08-04
HTI,Haiti,0.2117,0.1379,0.2087,0.2883,2026-08-04
HND,Honduras,0.4856,0.4587,0.4799,0.5182,2026-08-04
HUN,Hungary,0.8043,0.7144,0.8282,0.8703,2026-08-04
ISL,Iceland,0.9671,0.9076,0.9983,0.9953,2026-08-04
IND,India,0.6678,0.8184,0.57,0.6149,2026-08-04
IDN,Indonesia,0.7991,0.8035,0.8645,0.7293,2026-08-04
IRN,Iran (Islamic Republic of),0.6564,0.3773,0.8987,0.6932,2026-08-04
IRQ,Iraq,0.4572,0.1876,0.6874,0.4967,2026-08-04
IRL,Ireland,0.9138,0.8768,0.9599,0.9046,2026-08-04
ISR,Israel,0.9014,0.8541,0.9763,0.8739,2026-08-04
ITA,Italy,0.8356,0.7624,0.9017,0.8426,2026-08-04
JAM,Jamaica,0.6678,0.5677,0.7296,0.706,2026-08-04
JPN,Japan,0.9351,0.9427,0.9509,0.9117,2026-08-04
JOR,Jordan,0.6849,0.7591,0.6499,0.6458,2026-08-04
KAZ,Kazakhstan,0.9009,0.939,0.9235,0.8403,2026-08-04
KEN,Kenya,0.6314,0.777,0.5902,0.5271,2026-08-04
KIR,Kiribati,0.4572,0.3904,0.3544,0.6269,2026-08-04
KWT,Kuwait,0.7812,0.6366,0.9988,0.7083,2026-08-04
KGZ,Kyrgyzstan,0.7316,0.6072,0.8815,0.7061,2026-08-04
LAO,Lao People's Democratic Republic,0.4404,0.3265,0.5338,0.4608,2026-08-04
LVA,Latvia,0.8852,0.8092,0.966,0.8805,2026-08-04
LBN,Lebanon,0.5449,0.4489,0.6425,0.5433,2026-08-04
LSO,Lesotho,0.4123,0.2864,0.4643,0.4862,2026-08-04
LBR,Liberia,0.2513,0.2634,0.1238,0.3669,2026-08-04
LBY,Libya,0.5466,0.0808,0.9639,0.5952,2026-08-04
LIE,Liechtenstein,0.8528,0.7416,0.9906,0.8263,2026-08-04
LTU,Lithuania,0.9110,0.8839,0.9631,0.8861,2026-08-04
LUX,Luxembourg,0.8466,0.7555,0.9888,0.7955,2026-08-04
MDG,Madagascar,0.3235,0.4045,0.1518,0.4141,2026-08-04
MWI,Malawi,0.3753,0.4625,0.1886,0.4749,2026-08-04
MYS,Malaysia,0.8111,0.728,0.9862,0.7192,2026-08-04
MDV,Maldives,0.6745,0.622,0.7886,0.613,2026-08-04
MLI,Mali,0.3005,0.3334,0.4432,0.125,2026-08-04
MLT,Malta,0.8886,0.8749,0.9747,0.8162,2026-08-04
MHL,Marshall Islands,0.4823,0.3586,0.3047,0.7836,2026-08-04
MRT,Mauritania,0.3491,0.1688,0.5824,0.2962,2026-08-04
MUS,Mauritius,0.7506,0.5903,0.9159,0.7456,2026-08-04
MEX,Mexico,0.7850,0.7637,0.831,0.7603,2026-08-04
FSM,Micronesia (Federated States of),0.3235,0.2621,0.135,0.5735,2026-08-04
MCO,Monaco,0.7175,0.4838,0.9171,0.7515,2026-08-04
MNG,Mongolia,0.8457,0.8222,0.9374,0.7775,2026-08-04
MNE,Montenegro,0.7211,0.5214,0.9229,0.719,2026-08-04
MAR,Morocco,0.6841,0.5618,0.8827,0.6078,2026-08-04
MOZ,Mozambique,0.2848,0.3959,0.0632,0.3952,2026-08-04
MMR,Myanmar,0.5001,0.3259,0.6662,0.5081,2026-08-04
NAM,Namibia,0.6007,0.4996,0.7288,0.5738,2026-08-04
NRU,Nauru,0.4454,0.2439,0.5863,0.5061,2026-08-04
NPL,Nepal,0.5781,0.4481,0.7653,0.521,2026-08-04
NLD,Netherlands,0.9538,0.9212,0.9715,0.9688,2026-08-04
NZL,New Zealand,0.9265,0.9453,0.8728,0.9615,2026-08-04
NIC,Nicaragua,0.5318,0.4493,0.5851,0.561,2026-08-04
NER,Niger,0.2116,0.3084,0.1578,0.1685,2026-08-04
NGA,Nigeria,0.4815,0.5372,0.4836,0.4236,2026-08-04
MKD,North Macedonia,0.7070,0.6642,0.7546,0.7023,2026-08-04
NOR,Norway,0.9315,0.9117,0.9654,0.9175,2026-08-04
OMN,Oman,0.8576,0.8077,0.9674,0.7977,2026-08-04
PAK,Pakistan,0.5096,0.7042,0.4745,0.35,2026-08-04
PLW,Palau,0.5072,0.2787,0.491,0.752,2026-08-04
PAN,Panama,0.7298,0.6505,0.8523,0.6866,2026-08-04
PNG,Papua New Guinea,0.3076,0.3392,0.1851,0.3984,2026-08-04
PRY,Paraguay,0.7251,0.6712,0.7947,0.7093,2026-08-04
PER,Peru,0.8070,0.8377,0.8364,0.7469,2026-08-04
PHL,Philippines,0.7621,0.8054,0.7554,0.7256,2026-08-04
POL,Poland,0.8648,0.8037,0.9603,0.8304,2026-08-04
PRT,Portugal,0.8415,0.7878,0.8979,0.8389,2026-08-04
QAT,Qatar,0.8244,0.7655,0.9963,0.7114,2026-08-04
KOR,Republic of Korea,0.9679,1.0,0.9917,0.912,2026-08-04
MDA,Republic of Moldova,0.7720,0.7264,0.8118,0.7776,2026-08-04
ROU,Romania,0.7636,0.6548,0.8922,0.7439,2026-08-04
RUS,Russian Federation,0.8533,0.7766,0.9512,0.8319,2026-08-04
RWA,Rwanda,0.5799,0.8207,0.3724,0.5467,2026-08-04
KNA,Saint Kitts and Nevis,0.6305,0.3039,0.8675,0.7202,2026-08-04
LCA,Saint Lucia,0.5255,0.3229,0.6498,0.6037,2026-08-04
VCT,Saint Vincent and the Grenadines,0.5876,0.3906,0.6768,0.6956,2026-08-04
WSM,Samoa,0.4899,0.3638,0.4607,0.6453,2026-08-04
SMR,San Marino,0.6551,0.3575,0.9491,0.6587,2026-08-04
STP,Sao Tome and Principe,0.4308,0.2156,0.4839,0.5929,2026-08-04
SAU,Saudi Arabia,0.9602,0.99,0.9841,0.9067,2026-08-04
SEN,Senegal,0.5163,0.4779,0.7329,0.338,2026-08-04
SRB,Serbia,0.8618,0.854,0.9221,0.8094,2026-08-04
SYC,Seychelles,0.6773,0.4638,0.8913,0.6769,2026-08-04
SLE,Sierra Leone,0.3042,0.3823,0.2585,0.2719,2026-08-04
SGP,Singapore,0.9691,0.9831,0.9881,0.9362,2026-08-04
SVK,Slovakia,0.8021,0.7097,0.8985,0.7982,2026-08-04
SVN,Slovenia,0.8759,0.864,0.9107,0.853,2026-08-04
SLB,Solomon Islands,0.3681,0.497,0.1811,0.4262,2026-08-04
SOM,Somalia,0.1468,0.2971,0.1432,0.0,2026-08-04
ZAF,South Africa,0.8616,0.8872,0.8951,0.8026,2026-08-04
SSD,South Sudan,0.1191,0.1504,0.0547,0.1521,2026-08-04
ESP,Spain,0.9206,0.9054,0.9603,0.8961,2026-08-04
LKA,Sri Lanka,0.6667,0.5494,0.7936,0.657,2026-08-04
SDN,Sudan,0.2759,0.1293,0.4392,0.2593,2026-08-04
SUR,Suriname,0.6366,0.4814,0.8714,0.5568,2026-08-04
