ISO3,Country,EGDI,OSI,TII,HCI,Penetration_Pct,Year_Used,p,T_adj_EGDI,Phi_EGDI,T_adj_OSI,Phi_OSI,R_facade,I_egov,Signed_Div
ZMB,Zambia,0.5424,0.4958,0.5088,0.6225,16.45070076,2023,0.1645070076,0.08922860092224,0.45317139907776,0.08156257436808001,0.41423742563192,6.078768403784399,0.013000000000000012,-0.013000000000000012
KEN,Kenya,0.6314,0.777,0.5902,0.5271,32.07040024,2023,0.32070400239999997,0.20249250711535996,0.42890749288464,0.24918700986479997,0.5278129901352,3.1181400684633305,0.18680000000000008,0.18680000000000008
PAK,Pakistan,0.5096,0.7042,0.4745,0.35,18.935,2020,0.18935,0.09649276000000001,0.41310724000000004,0.13334027,0.57085973,5.281225244256667,0.22970000000000007,0.22970000000000007
RWA,Rwanda,0.5799,0.8207,0.3724,0.5467,28.80579948,2023,0.2880579948,0.16704483118452,0.41285516881548,0.23640919633236,0.5842908036676401,3.471523158710817,0.4483,0.4483
UGA,Uganda,0.4464,0.6069,0.2299,0.5023,9.286999702,2023,0.09286999702,0.041457166669728,0.40494283333027203,0.056362801191438,0.550537198808562,10.767740196918982,0.377,0.377
BGD,Bangladesh,0.657,0.7374,0.6501,0.5834,44.50274195,2023,0.4450274195,0.2923830146115,0.3646169853885,0.3281632191393,0.40923678086070003,2.247052554926899,0.08730000000000004,0.08730000000000004
CIV,Côte d'Ivoire,0.5587,0.5219,0.6693,0.4848,40.65284979,2023,0.40652849789999995,0.22712747177672996,0.33157252822327005,0.21216722305400998,0.30973277694599005,2.4598521509948004,0.14739999999999998,-0.14739999999999998
LKA,Sri Lanka,0.6667,0.5494,0.7936,0.657,51.2,2023,0.512,0.3413504,0.32534959999999996,0.2812928,0.2681072,1.953125,0.24419999999999997,-0.24419999999999997
NPL,Nepal,0.5781,0.4481,0.7653,0.521,45.80680084,2023,0.4580680084,0.26480911565604,0.31329088434396,0.20526027456404,0.24283972543596002,2.183081947794021,0.3172,-0.3172
TZA,United Republic of Tanzania,0.4327,0.4791,0.3792,0.4399,28.43190002,2023,0.2843190002,0.12302483138654,0.30967516861346,0.13621723299582,0.34288276700418,3.5171761271549378,0.09990000000000004,0.09990000000000004
BEN,Benin,0.4578,0.5202,0.4817,0.3715,32.39400101,2023,0.32394001009999995,0.14829973662378,0.30950026337622,0.16851359325401996,0.35168640674598,3.086991321915749,0.03849999999999998,0.03849999999999998
MWI,Malawi,0.3753,0.4625,0.1886,0.4749,17.98810346,2023,0.17988103460000002,0.06750935228538,0.30779064771462,0.08319497850250002,0.3793050214975,5.559229755508644,0.27390000000000003,0.27390000000000003
NGA,Nigeria,0.4815,0.5372,0.4836,0.4236,40.06399918,2023,0.40063999180000004,0.1929081560517,0.28859184394829995,0.21522380359496002,0.32197619640503994,2.4960064408627516,0.053600000000000037,0.053600000000000037
ZWE,Zimbabwe,0.4481,0.41,0.3947,0.5395,38.67480087,2023,0.3867480087,0.17330178269847,0.27479821730153003,0.158566683567,0.25143331643300004,2.5856629575453067,0.01529999999999998,0.01529999999999998
MMR,Myanmar,0.5001,0.3259,0.6662,0.5081,45.4477005,2020,0.45447700500000004,0.22728395020050002,0.2728160497995,0.14811405592950003,0.17778594407050002,2.200331345697017,0.3403,-0.3403
GIN,Guinea,0.4006,0.4808,0.4323,0.2887,32.31560135,2023,0.3231560135,0.12945629900810002,0.2711437009919,0.1553734112908,0.3254265887092,3.0944805549781296,0.04849999999999999,0.04849999999999999
IND,India,0.6678,0.8184,0.57,0.6149,60.25230026,2023,0.6025230026,0.40236486113628,0.26543513886371994,0.49310482532784,0.32529517467216,1.6596876728105185,0.24840000000000007,0.24840000000000007
MDG,Madagascar,0.3235,0.4045,0.1518,0.4141,18.24080086,2023,0.1824080086,0.0590089907821,0.26449100921790003,0.0737840394787,0.33071596052130003,5.482215433823885,0.25270000000000004,0.25270000000000004
SLB,Solomon Islands,0.3681,0.497,0.1811,0.4262,28.67239952,2023,0.28672399519999997,0.10554310263311999,0.26255689736688,0.14250182561439997,0.3544981743856,3.487674616498229,0.31589999999999996,0.31589999999999996
TLS,Timor-Leste,0.402,0.3406,0.3551,0.5104,35.04199982,2021,0.3504199982,0.1408688392764,0.2611311607236,0.11935305138692001,0.22124694861308,2.85371840972745,0.014500000000000013,-0.014500000000000013
AGO,Angola,0.4149,0.3962,0.3724,0.476,37.88589859,2023,0.37885898589999994,0.15718859324990997,0.25771140675009,0.15010393021357998,0.24609606978641999,2.6395045048870784,0.023799999999999988,0.023799999999999988
BWA,Botswana,0.6118,0.3985,0.865,0.5719,57.9,2022,0.579,0.3542322,0.2575678,0.2307315,0.16776850000000001,1.7271157167530227,0.46649999999999997,-0.46649999999999997
TJK,Tajikistan,0.5606,0.4476,0.581,0.6531,54.41550064,2023,0.5441550064,0.30505329658784003,0.25554670341215996,0.24356378086464,0.20403621913536,1.837711659800324,0.13339999999999996,-0.13339999999999996
PNG,Papua New Guinea,0.3076,0.3392,0.1851,0.3984,18.56130028,2023,0.1856130028,0.05709455966128,0.25050544033871996,0.06295993054976,0.27624006945024,5.387553592231416,0.15410000000000001,0.15410000000000001
GTM,Guatemala,0.5738,0.6538,0.5843,0.4834,56.72669983,2023,0.5672669983,0.32549780362454,0.24830219637545997,0.37087916348854005,0.28292083651146,1.7628383159902217,0.0695,0.0695
CMR,Cameroon,0.4294,0.3989,0.37,0.5193,42.24380112,2023,0.4224380112,0.18139488200928,0.24800511799072,0.16851052266768,0.23038947733232,2.3672112203145415,0.02889999999999998,0.02889999999999998
ETH,Ethiopia,0.3111,0.342,0.2659,0.3254,20.33749962,2023,0.2033749962,0.06326996131781999,0.24783003868217998,0.0695542487004,0.2724457512996,4.9170252916272705,0.0761,0.0761
IDN,Indonesia,0.7991,0.8035,0.8645,0.7293,69.20836554,2023,0.6920836554,0.55304404903014,0.24605595096985997,0.5560892171139,0.24741078288609997,1.444912030789161,0.061000000000000054,-0.061000000000000054
TGO,Togo,0.392,0.4472,0.2474,0.4813,37.57020187,2023,0.3757020187,0.14727519133039998,0.24472480866960003,0.16801394276263998,0.27918605723736,2.6616838617481724,0.19979999999999998,0.19979999999999998
SWZ,Eswatini,0.6081,0.4557,0.7851,0.5836,61.33330154,2023,0.6133330154,0.37296780666473994,0.23513219333526,0.27949585511777997,0.17620414488222003,1.6304356277769032,0.3294,-0.3294
SLE,Sierra Leone,0.3042,0.3823,0.2585,0.2719,23.71360016,2023,0.23713600159999998,0.07213677168672,0.23206322831328005,0.09065709341167999,0.29164290658832,4.216989378469811,0.12379999999999997,0.12379999999999997
BDI,Burundi,0.2481,0.3146,0.0331,0.3966,7.172299862,2023,0.07172299862,0.017794475957622,0.230305524042378,0.022564055365852,0.292035944634148,13.942529164155015,0.2815,0.2815
PAN,Panama,0.7298,0.6505,0.8523,0.6866,68.54851592,2023,0.6854851592,0.50026706918416,0.22953293081584003,0.44590809605959997,0.2045919039404,1.4588207878447095,0.20179999999999998,-0.20179999999999998
MOZ,Mozambique,0.2848,0.3959,0.0632,0.3952,19.94560051,2023,0.19945600509999997,0.056805070252479994,0.22799492974752,0.07896463241908998,0.31693536758091,5.013636964696232,0.3327,0.3327
SLV,El Salvador,0.5988,0.509,0.7526,0.5348,62.61989975,2023,0.6261989975,0.37496795970299995,0.22383204029700002,0.3187352897275,0.19026471027250003,1.5969364435145077,0.24360000000000004,-0.24360000000000004
COD,Democratic Republic of the Congo,0.2715,0.2067,0.1591,0.4487,18.96789932,2023,0.1896789932,0.05149784665380001,0.22000215334620002,0.03920664789444,0.16749335210556,5.2720650986669195,0.0476,0.0476
GNB,Guinea-Bissau,0.3083,0.127,0.4902,0.3077,28.71240044,2023,0.2871240044,0.08852033055652002,0.21977966944347999,0.036464748558800004,0.09053525144119999,3.4828157335353738,0.3632,-0.3632
TUN,Tunisia,0.6935,0.5951,0.8357,0.6497,68.31552226,2021,0.6831552226,0.4737681468731,0.21973185312690005,0.4065456729692599,0.18855432703074002,1.4637961724044648,0.24060000000000004,-0.24060000000000004
NAM,Namibia,0.6007,0.4996,0.7288,0.5738,63.69549942,2023,0.6369549942,0.38261886501594,0.21808113498406,0.31822271510232,0.18137728489767999,1.5699696353836987,0.22920000000000001,-0.22920000000000001
BFA,Burkina Faso,0.2895,0.3376,0.364,0.1668,25.36120033,2023,0.2536120033,0.07342067495535,0.21607932504465,0.08561941231408,0.25198058768592,3.9430310355503586,0.02639999999999998,-0.02639999999999998
ECU,Ecuador,0.78,0.8851,0.6834,0.7715,72.6943146,2023,0.726943146,0.56701565388,0.21298434612000003,0.6434173785246,0.2416826214754,1.375623397101264,0.2017,0.2017
NIC,Nicaragua,0.5318,0.4493,0.5851,0.561,60.30120087,2023,0.6030120087,0.32068178622666005,0.21111821377334,0.27093329550891,0.17836670449108996,1.6583417669506189,0.13579999999999998,-0.13579999999999998
SEN,Senegal,0.5163,0.4779,0.7329,0.338,59.18740082,2023,0.5918740082,0.30558455043366,0.21071544956633997,0.28285658851878,0.19504341148121998,1.6895487656928672,0.255,-0.255
LSO,Lesotho,0.4123,0.2864,0.4643,0.4862,48.98590088,2023,0.48985900880000005,0.20196886932824,0.21033113067175996,0.14029562012032,0.14610437987967997,2.0414037142027546,0.1779,-0.1779
BRB,Barbados,0.6815,0.4976,0.7624,0.7845,69.67510223,2023,0.6967510223,0.47483582169745,0.20666417830255002,0.34670330869648,0.15089669130352001,1.4352329139022493,0.2648,-0.2648
HND,Honduras,0.4856,0.4587,0.4799,0.5182,58.0685997,2023,0.580685997,0.2819811201432,0.2036188798568,0.2663606668239,0.1923393331761,1.7221011100083408,0.021199999999999997,-0.021199999999999997
GRD,Grenada,0.6458,0.5056,0.6767,0.755,69.4131012,2023,0.694131012,0.44826980754960005,0.1975301924504,0.3509526396672001,0.1546473603328,1.4406502269920192,0.17109999999999992,-0.17109999999999992
FSM,Micronesia (Federated States of),0.3235,0.2621,0.135,0.5735,39.39889908,2023,0.3939889908,0.1274554385238,0.1960445614762,0.10326451448868,0.15883548551131998,2.5381419870882342,0.1271,0.1271
COG,Congo,0.3391,0.276,0.2776,0.4638,43.15039825,2023,0.4315039825,0.14632300046575,0.19277699953425,0.11909509917000001,0.15690490083000003,2.3174757141436118,0.0015999999999999903,-0.0015999999999999903
MLI,Mali,0.3005,0.3334,0.4432,0.125,36.03879929,2023,0.3603879929,0.10829659186644999,0.19220340813355,0.12015335683285999,0.21324664316713998,2.7747872284898203,0.10980000000000001,-0.10980000000000001
