ISO3,Country_ITU,Penetration_Pct,Year_Used,Status,Retrieval_Date
AAA,Guernsey,,,missing,2026-07-07
ABW,Aruba,,,missing,2026-07-07
AFG,Afghanistan,15.92840004,2023,in-window,2026-07-07
AGO,Angola,37.88589859,2023,in-window,2026-07-07
AIA,Anguilla,,,missing,2026-07-07
ALB,Albania,83.13559161,2023,in-window,2026-07-07
AND,Andorra,94.21499634,2023,in-window,2026-07-07
ARE,United Arab Emirates,100.0,2023,in-window,2026-07-07
ARG,Argentina,89.22897166,2023,in-window,2026-07-07
ARM,Armenia,79.99663036,2023,in-window,2026-07-07
ASC,Ascension,,,missing,2026-07-07
ATG,Antigua and Barbuda,72.12409973,2023,in-window,2026-07-07
AUS,Australia,96.1160965,2023,in-window,2026-07-07
AUT,Austria,95.33467117,2023,in-window,2026-07-07
AZE,Azerbaijan,89.0,2023,in-window,2026-07-07
BDI,Burundi,7.172299862,2023,in-window,2026-07-07
BEL,Belgium,94.62625074,2023,in-window,2026-07-07
BEN,Benin,32.39400101,2023,in-window,2026-07-07
BFA,Burkina Faso,25.36120033,2023,in-window,2026-07-07
BGD,Bangladesh,44.50274195,2023,in-window,2026-07-07
BGR,Bulgaria,80.38956462,2023,in-window,2026-07-07
BHR,Bahrain,100.0,2023,in-window,2026-07-07
BHS,Bahamas,92.38729858,2023,in-window,2026-07-07
BIH,Bosnia and Herzegovina,83.3771539,2023,in-window,2026-07-07
BLR,Belarus,91.51249979,2023,in-window,2026-07-07
BLZ,Belize,70.18720245,2023,in-window,2026-07-07
BMU,Bermuda,,,missing,2026-07-07
BOL,Bolivia (Plurinational State of),77.30039978,2023,in-window,2026-07-07
BRA,Brazil,84.15060238,2023,in-window,2026-07-07
BRB,Barbados,69.67510223,2023,in-window,2026-07-07
BRN,Brunei Darussalam,98.97039795,2023,in-window,2026-07-07
BTN,Bhutan,90.02140045,2023,in-window,2026-07-07
BWA,Botswana,57.9,2022,carry-forward,2026-07-07
CAF,Central African Rep.,13.8416996,2023,in-window,2026-07-07
CAN,Canada,94.14530182,2023,in-window,2026-07-07
CHE,Switzerland,97.34436623,2023,in-window,2026-07-07
CHL,Chile,94.45742345,2023,in-window,2026-07-07
CHN,China,90.6,2023,in-window,2026-07-07
CIV,Côte d'Ivoire,40.65284979,2023,in-window,2026-07-07
CMR,Cameroon,42.24380112,2023,in-window,2026-07-07
COD,Dem. Rep. of the Congo,18.96789932,2023,in-window,2026-07-07
COG,Congo (Rep. of the),43.15039825,2023,in-window,2026-07-07
COK,Cook Islands,,,missing,2026-07-07
COL,Colombia,77.33686322,2023,in-window,2026-07-07
COM,Comoros,31.92749977,2023,in-window,2026-07-07
CPV,Cabo Verde,74.59919739,2023,in-window,2026-07-07
CRI,Costa Rica,85.39514799,2023,in-window,2026-07-07
CUB,Cuba,69.55580139,2023,in-window,2026-07-07
CUW,Curacao,,,missing,2026-07-07
CYM,Cayman Islands,,,missing,2026-07-07
CYP,Cyprus,91.22110357,2023,in-window,2026-07-07
CZE,Czech Republic,85.99404818,2023,in-window,2026-07-07
DEU,Germany,92.4763763,2023,in-window,2026-07-07
DJI,Djibouti,64.75869751,2023,in-window,2026-07-07
DMA,Dominica,81.33650208,2023,in-window,2026-07-07
DNK,Denmark,98.77559197,2023,in-window,2026-07-07
DOM,Dominican Rep.,86.12689972,2023,in-window,2026-07-07
DZA,Algeria,76.19760132,2023,in-window,2026-07-07
ECU,Ecuador,72.6943146,2023,in-window,2026-07-07
EGY,Egypt,74.01190186,2023,in-window,2026-07-07
ERI,Eritrea,14.34939957,2020,carry-forward,2026-07-07
ESP,Spain,95.44564516,2023,in-window,2026-07-07
EST,Estonia,93.18342241,2023,in-window,2026-07-07
ETH,Ethiopia,20.33749962,2023,in-window,2026-07-07
FIN,Finland,93.51385075,2023,in-window,2026-07-07
FJI,Fiji,74.1160965,2023,in-window,2026-07-07
FLK,Falkland (Malvinas) Is.,,,missing,2026-07-07
FRA,France,86.83635789,2023,in-window,2026-07-07
FRO,Faroe Islands,,,missing,2026-07-07
FSM,Micronesia,39.39889908,2023,in-window,2026-07-07
GAB,Gabon,68.19789886,2023,in-window,2026-07-07
GBJ,Jersey,,,missing,2026-07-07
GBR,United Kingdom,95.44719696,2023,in-window,2026-07-07
GEO,Georgia,81.88425624,2023,in-window,2026-07-07
GHA,Ghana,70.67430115,2023,in-window,2026-07-07
GIB,Gibraltar,,,missing,2026-07-07
GIN,Guinea,32.31560135,2023,in-window,2026-07-07
GLP,Guadeloupe,,,missing,2026-07-07
GMB,Gambia,48.72829819,2023,in-window,2026-07-07
GNB,Guinea-Bissau,28.71240044,2023,in-window,2026-07-07
GNQ,Equatorial Guinea,63.51950073,2023,in-window,2026-07-07
GRC,Greece,85.0102229,2023,in-window,2026-07-07
GRD,Grenada,69.4131012,2023,in-window,2026-07-07
GRL,Greenland,,,missing,2026-07-07
GTM,Guatemala,56.72669983,2023,in-window,2026-07-07
GUF,French Guiana,,,missing,2026-07-07
GUM,Guam,,,missing,2026-07-07
GUY,Guyana,79.3553009,2023,in-window,2026-07-07
HKG,"Hong Kong, China",95.97781908,2023,in-window,2026-07-07
HND,Honduras,58.0685997,2023,in-window,2026-07-07
HRV,Croatia,83.24117599,2023,in-window,2026-07-07
HTI,Haiti,47.99269867,2023,in-window,2026-07-07
HUN,Hungary,91.4500713,2023,in-window,2026-07-07
IDN,Indonesia,69.20836554,2023,in-window,2026-07-07
IND,India,60.25230026,2023,in-window,2026-07-07
IRL,Ireland,96.8660965,2023,in-window,2026-07-07
IRN,Iran (Islamic Republic of),83.71050262,2023,in-window,2026-07-07
IRQ,Iraq,81.80889893,2023,in-window,2026-07-07
ISL,Iceland,97.94860077,2023,in-window,2026-07-07
ISR,Israel,87.03842615,2023,in-window,2026-07-07
ITA,Italy,87.0278292,2023,in-window,2026-07-07
JAM,Jamaica,89.47304282,2023,in-window,2026-07-07
JOR,Jordan,92.53443944,2023,in-window,2026-07-07
JPN,Japan,85.00990295,2023,in-window,2026-07-07
KAZ,Kazakhstan,92.87846096,2023,in-window,2026-07-07
KEN,Kenya,32.07040024,2023,in-window,2026-07-07
KGZ,Kyrgyzstan,91.04440308,2023,in-window,2026-07-07
KHM,Cambodia,68.92549896,2023,in-window,2026-07-07
KIR,Kiribati,88.0,2023,in-window,2026-07-07
KNA,Saint Kitts and Nevis,76.58950043,2023,in-window,2026-07-07
KOR,Korea (Rep. of),97.41597478,2023,in-window,2026-07-07
KSO,Kosovo,,,missing,2026-07-07
KWT,Kuwait,99.74731125,2023,in-window,2026-07-07
LAO,Lao P.D.R.,64.39800262,2023,in-window,2026-07-07
LBN,Lebanon,81.7059021,2023,in-window,2026-07-07
LBR,Liberia,31.22410011,2023,in-window,2026-07-07
LBY,Libya,82.10469818,2023,in-window,2026-07-07
LCA,Saint Lucia,67.44390106,2023,in-window,2026-07-07
LIE,Liechtenstein,98.13230133,2023,in-window,2026-07-07
LKA,Sri Lanka,51.2,2023,in-window,2026-07-07
LSO,Lesotho,48.98590088,2023,in-window,2026-07-07
LTU,Lithuania,88.50287484,2023,in-window,2026-07-07
LUX,Luxembourg,99.34785707,2023,in-window,2026-07-07
LVA,Latvia,92.18791291,2023,in-window,2026-07-07
MAC,"Macao, China",89.82640076,2023,in-window,2026-07-07
MAR,Morocco,91.0,2023,in-window,2026-07-07
MCO,Monaco,98.87049866,2023,in-window,2026-07-07
MDA,Moldova,76.50330353,2023,in-window,2026-07-07
MDG,Madagascar,18.24080086,2023,in-window,2026-07-07
MDV,Maldives,84.55290222,2023,in-window,2026-07-07
MEX,Mexico,81.18318755,2023,in-window,2026-07-07
MHL,Marshall Islands,64.07589722,2023,in-window,2026-07-07
MKD,North Macedonia,88.5,2023,in-window,2026-07-07
MLI,Mali,36.03879929,2023,in-window,2026-07-07
MLT,Malta,92.07266941,2023,in-window,2026-07-07
MMR,Myanmar,45.4477005,2020,carry-forward,2026-07-07
MNE,Montenegro,88.5515976,2023,in-window,2026-07-07
MNG,Mongolia,83.74320221,2023,in-window,2026-07-07
MOZ,Mozambique,19.94560051,2023,in-window,2026-07-07
MRT,Mauritania,44.95629883,2023,in-window,2026-07-07
MSR,Montserrat,,,missing,2026-07-07
MTQ,Martinique,,,missing,2026-07-07
MUS,Mauritius,79.5,2023,in-window,2026-07-07
MWI,Malawi,17.98810346,2023,in-window,2026-07-07
MYS,Malaysia,97.69272633,2023,in-window,2026-07-07
MYT,Mayotte,,,missing,2026-07-07
NAM,Namibia,63.69549942,2023,in-window,2026-07-07
NCL,New Caledonia,,,missing,2026-07-07
NER,Niger,12.98079967,2023,in-window,2026-07-07
NGA,Nigeria,40.06399918,2023,in-window,2026-07-07
NIC,Nicaragua,60.30120087,2023,in-window,2026-07-07
NIU,Niue,,,missing,2026-07-07
NLD,Netherlands,97.00680272,2023,in-window,2026-07-07
NOR,Norway,99.00000258,2023,in-window,2026-07-07
NPL,Nepal (Republic of),45.80680084,2023,in-window,2026-07-07
NRU,Nauru,83.03970337,2023,in-window,2026-07-07
NZL,New Zealand,93.32610321,2023,in-window,2026-07-07
OMN,Oman,95.25170135,2023,in-window,2026-07-07
PAK,Pakistan,18.935,2020,carry-forward,2026-07-07
PAN,Panama,68.54851592,2023,in-window,2026-07-07
PER,Peru,79.48484477,2023,in-window,2026-07-07
PHL,Philippines,77.86699677,2023,in-window,2026-07-07
PLW,Palau,82.91629791,2023,in-window,2026-07-07
PNG,Papua New Guinea,18.56130028,2023,in-window,2026-07-07
POL,Poland,86.414744,2023,in-window,2026-07-07
PRI,Puerto Rico,87.29178106,2022,carry-forward,2026-07-07
PRK,Dem. People's Rep. of Korea,,,missing,2026-07-07
PRT,Portugal,85.79012676,2023,in-window,2026-07-07
PRY,Paraguay,78.09481878,2023,in-window,2026-07-07
PSE,State of Palestine,86.63765334,2023,in-window,2026-07-07
PYF,French Polynesia,,,missing,2026-07-07
QAT,Qatar,98.15229797,2023,in-window,2026-07-07
REU,Réunion,,,missing,2026-07-07
ROU,Romania,89.20335498,2023,in-window,2026-07-07
RUS,Russian Federation,92.24496346,2023,in-window,2026-07-07
RWA,Rwanda,28.80579948,2023,in-window,2026-07-07
SAU,Saudi Arabia,100.0,2023,in-window,2026-07-07
SDN,Sudan,,,missing,2026-07-07
SEN,Senegal,59.18740082,2023,in-window,2026-07-07
SGP,Singapore,94.28518987,2023,in-window,2026-07-07
SHN,St. Helena,,,missing,2026-07-07
SLB,Solomon Islands,28.67239952,2023,in-window,2026-07-07
SLE,Sierra Leone,23.71360016,2023,in-window,2026-07-07
SLV,El Salvador,62.61989975,2023,in-window,2026-07-07
SMR,San Marino,97.33640289,2023,in-window,2026-07-07
SOM,Somalia,26.12010002,2023,in-window,2026-07-07
SRB,Serbia,85.35746686,2023,in-window,2026-07-07
SSD,South Sudan,,,missing,2026-07-07
STP,Sao Tome and Principe,58.70130157,2023,in-window,2026-07-07
SUR,Suriname,87.4,2023,in-window,2026-07-07
SVK,Slovakia,87.2131343,2023,in-window,2026-07-07
SVN,Slovenia,90.37794678,2023,in-window,2026-07-07
SWE,Sweden,95.70327461,2023,in-window,2026-07-07
SWZ,Eswatini,61.33330154,2023,in-window,2026-07-07
SYC,Seychelles,86.001297,2023,in-window,2026-07-07
SYR,Syrian Arab Republic,,,missing,2026-07-07
TCD,Chad,12.03590012,2023,in-window,2026-07-07
TGO,Togo,37.57020187,2023,in-window,2026-07-07
THA,Thailand,89.53525238,2023,in-window,2026-07-07
TJK,Tajikistan,54.41550064,2023,in-window,2026-07-07
TKL,Tokelau,,,missing,2026-07-07
TKM,Turkmenistan,,,missing,2026-07-07
TLS,Timor-Leste,35.04199982,2021,carry-forward,2026-07-07
TON,Tonga,64.13140106,2023,in-window,2026-07-07
TTO,Trinidad and Tobago,81.9681015,2023,in-window,2026-07-07
TUN,Tunisia,68.31552226,2021,carry-forward,2026-07-07
TUR,Türkiye,85.96074155,2023,in-window,2026-07-07
TUV,Tuvalu,,,missing,2026-07-07
TWN,"Taiwan, Province of China",93.14481395,2023,in-window,2026-07-07
TZA,Tanzania,28.43190002,2023,in-window,2026-07-07
UGA,Uganda,9.286999702,2023,in-window,2026-07-07
UKR,Ukraine,81.58059692,2023,in-window,2026-07-07
URY,Uruguay,90.92590332,2023,in-window,2026-07-07
USA,United States,93.52559662,2023,in-window,2026-07-07
UZB,Uzbekistan,89.01361047,2023,in-window,2026-07-07
VAT,Vatican,87.02780151,2023,in-window,2026-07-07
VCT,Saint Vincent and the Grenadines,75.53679657,2023,in-window,2026-07-07
VEN,Venezuela,76.33190155,2023,in-window,2026-07-07
VGB,British Virgin Islands,,,missing,2026-07-07
VIR,Virgin Islands (US),,,missing,2026-07-07
VNM,Viet Nam,78.08,2023,in-window,2026-07-07
VUT,Vanuatu,,,missing,2026-07-07
WLF,Wallis and Futuna,,,missing,2026-07-07
WSM,Samoa,,,missing,2026-07-07
YEM,Yemen,,,missing,2026-07-07
YUG,Serbia and Montenegro,,,missing,2026-07-07
ZAF,South Africa,78.33670044,2023,in-window,2026-07-07
ZMB,Zambia,16.45070076,2023,in-window,2026-07-07
ZWE,Zimbabwe,38.67480087,2023,in-window,2026-07-07
