ISO3,Country,I_digital_A,HDIN_A,Rank_A,I_digital_B,HDIN_B,Rank_B,I_digital_C,HDIN_C,Rank_C,HDI_Standard,Rank_Standard
ISL,Iceland,0.8215,0.9227,1,0.8022,0.9173,1,0.8226,0.9230,1,0.9590,3
CHE,Switzerland,0.7714,0.9135,2,0.7478,0.9065,3,0.7806,0.9162,2,0.9670,1
SGP,Singapore,0.7957,0.9083,3,0.7947,0.9080,2,0.8074,0.9117,3,0.9490,9
IRL,Ireland,0.7926,0.9079,4,0.7756,0.9030,5,0.8031,0.9109,4,0.9500,7
NOR,Norway,0.7531,0.9077,5,0.7428,0.9045,4,0.7599,0.9097,5,0.9660,2
KOR,Republic of Korea,0.7909,0.8924,6,0.7892,0.8920,6,0.7981,0.8945,6,0.9290,19
GBR,United Kingdom of Great Britain and Northern Ireland,0.7495,0.8885,7,0.7455,0.8873,7,0.7594,0.8914,8,0.9400,15
MLT,Malta,0.8126,0.8880,8,0.7915,0.8822,9,0.8329,0.8935,7,0.9150,25
NLD,Netherlands,0.7323,0.8875,9,0.7229,0.8847,8,0.7386,0.8895,9,0.9460,10
AUS,Australia,0.7052,0.8790,10,0.7001,0.8774,10,0.7132,0.8815,10,0.9460,10
DNK,Denmark,0.6841,0.8762,11,0.6836,0.8761,11,0.6871,0.8772,11,0.9520,5
DEU,Germany,0.6650,0.8688,12,0.6650,0.8688,12,0.6810,0.8740,12,0.9500,7
SWE,Sweden,0.6561,0.8677,13,0.6384,0.8618,13,0.6626,0.8698,13,0.9520,5
BEL,Belgium,0.6506,0.8585,14,0.6252,0.8500,15,0.6712,0.8652,14,0.9420,12
USA,United States of America,0.6706,0.8550,15,0.6626,0.8524,14,0.6849,0.8595,15,0.9270,20
ISR,Israel,0.6787,0.8489,16,0.6569,0.8420,18,0.6991,0.8552,17,0.9150,25
CAN,Canada,0.6300,0.8472,17,0.6224,0.8447,16,0.6521,0.8546,18,0.9350,18
FRA,France,0.6825,0.8472,18,0.6686,0.8428,17,0.7098,0.8555,16,0.9100,28
NZL,New Zealand,0.5845,0.8344,19,0.5736,0.8304,19,0.5951,0.8381,19,0.9390,16
JPN,Japan,0.6060,0.8291,20,0.6048,0.8287,20,0.6295,0.8370,20,0.9200,24
