ISO3,Country_HDR,I_health,I_education,I_income,HDI_Standard,HDI_Rank_Standard,Retrieval_Date
AFG,Afghanistan,0.6597,0.3812,0.3915,0.4620,182,2026-08-18
ALB,Albania,0.8744,0.7398,0.7598,0.7890,74,2026-08-18
DZA,Algeria,0.8789,0.6631,0.7097,0.7450,93,2026-08-18
AND,Andorra,0.9777,0.7422,0.9510,0.8840,35,2026-08-18
AGO,Angola,0.6451,0.5328,0.6005,0.5910,150,2026-08-18
ATG,Antigua and Barbuda,0.9113,0.7824,0.7909,0.8260,54,2026-08-18
ARG,Argentina,0.8625,0.8715,0.8151,0.8490,48,2026-08-18
ARM,Armenia,0.8211,0.7778,0.7607,0.7860,76,2026-08-18
AUS,Australia,0.9781,0.9242,0.9365,0.9460,10,2026-08-18
AUT,Austria,0.9602,0.8648,0.9573,0.9260,22,2026-08-18
AZE,Azerbaijan,0.8229,0.7049,0.7571,0.7600,89,2026-08-18
BHS,Bahamas,0.8363,0.7547,0.8738,0.8200,57,2026-08-18
BHR,Bahrain,0.9115,0.8210,0.9349,0.8880,34,2026-08-18
BGD,Bangladesh,0.8261,0.5778,0.6308,0.6700,129,2026-08-18
BRB,Barbados,0.8878,0.7889,0.7550,0.8090,62,2026-08-18
BLR,Belarus,0.8192,0.7964,0.7880,0.8010,69,2026-08-18
BEL,Belgium,0.9584,0.9176,0.9494,0.9420,12,2026-08-18
BLZ,Belize,0.7840,0.6401,0.6837,0.7000,118,2026-08-18
BEN,Benin,0.6147,0.3908,0.5329,0.5040,173,2026-08-18
BTN,Bhutan,0.8035,0.5574,0.7048,0.6810,125,2026-08-18
BOL,Bolivia (Plurinational State of),0.6912,0.7449,0.6617,0.6980,120,2026-08-18
BIH,Bosnia and Herzegovina,0.8507,0.7200,0.7719,0.7790,80,2026-08-18
BWA,Botswana,0.7064,0.6647,0.7553,0.7080,114,2026-08-18
BRA,Brazil,0.8219,0.7087,0.7530,0.7600,89,2026-08-18
BRN,Brunei Darussalam,0.8392,0.6879,0.9644,0.8230,55,2026-08-18
BGR,Bulgaria,0.7927,0.7657,0.8395,0.7990,70,2026-08-18
BFA,Burkina Faso,0.6118,0.3021,0.4553,0.4380,185,2026-08-18
BDI,Burundi,0.6458,0.3870,0.2965,0.4200,187,2026-08-18
CPV,Cabo Verde,0.8419,0.5233,0.6542,0.6610,131,2026-08-18
KHM,Cambodia,0.7676,0.4944,0.5678,0.6000,148,2026-08-18
CMR,Cameroon,0.6301,0.5896,0.5447,0.5870,151,2026-08-18
CAN,Canada,0.9669,0.9056,0.9340,0.9350,18,2026-08-18
CAF,Central African Republic,0.5304,0.3342,0.3266,0.3870,191,2026-08-18
TCD,Chad,0.5076,0.3035,0.3974,0.3940,189,2026-08-18
CHL,Chile,0.9157,0.8362,0.8306,0.8600,44,2026-08-18
CHN,China,0.9013,0.6930,0.7846,0.7880,75,2026-08-18
COL,Colombia,0.8255,0.6965,0.7570,0.7580,91,2026-08-18
COM,Comoros,0.6720,0.5691,0.5264,0.5860,152,2026-08-18
COG,Congo,0.6624,0.6199,0.5088,0.5930,149,2026-08-18
COD,Congo (Democratic Republic of the),0.6114,0.5063,0.3595,0.4810,180,2026-08-18
CRI,Costa Rica,0.8818,0.7405,0.8022,0.8060,64,2026-08-18
CIV,Cte d'Ivoire,0.5987,0.4218,0.6019,0.5340,166,2026-08-18
HRV,Croatia,0.9113,0.8435,0.8819,0.8780,39,2026-08-18
CUB,Cuba,0.8947,0.7535,0.6610,0.7640,85,2026-08-18
CYP,Cyprus,0.9521,0.8659,0.9056,0.9070,29,2026-08-18
CZE,Czechia,0.8943,0.8846,0.9048,0.8950,32,2026-08-18
DNK,Denmark,0.9520,0.9320,0.9713,0.9520,5,2026-08-18
DJI,Djibouti,0.6594,0.3527,0.5871,0.5150,171,2026-08-18
DMA,Dominica,0.8151,0.6826,0.7290,0.7400,97,2026-08-18
DOM,Dominican Republic,0.8334,0.6816,0.7898,0.7660,82,2026-08-18
ECU,Ecuador,0.8907,0.7119,0.7058,0.7650,83,2026-08-18
EGY,Egypt,0.7717,0.6869,0.7277,0.7280,105,2026-08-18
SLV,El Salvador,0.7919,0.5692,0.6778,0.6740,127,2026-08-18
GNQ,Equatorial Guinea,0.6337,0.6130,0.7053,0.6500,133,2026-08-18
ERI,Eritrea,0.7170,0.3730,0.4492,0.4930,175,2026-08-18
EST,Estonia,0.9101,0.8945,0.8939,0.8990,31,2026-08-18
SWZ,Eswatini (Kingdom of),0.5594,0.6056,0.6692,0.6100,142,2026-08-18
ETH,Ethiopia,0.7022,0.3558,0.4781,0.4920,176,2026-08-18
FJI,Fiji,0.7433,0.7304,0.7132,0.7290,104,2026-08-18
FIN,Finland,0.9592,0.9310,0.9373,0.9420,12,2026-08-18
FRA,France,0.9728,0.8337,0.9306,0.9100,28,2026-08-18
GAB,Gabon,0.7030,0.6637,0.7127,0.6930,123,2026-08-18
GMB,Gambia,0.6601,0.3998,0.4591,0.4950,174,2026-08-18
GEO,Georgia,0.7936,0.8880,0.7662,0.8140,60,2026-08-18
DEU,Germany,0.9383,0.9570,0.9541,0.9500,7,2026-08-18
GHA,Ghana,0.6761,0.5363,0.6020,0.6020,145,2026-08-18
GRC,Greece,0.9325,0.8803,0.8684,0.8930,33,2026-08-18
GRD,Grenada,0.8513,0.7892,0.7420,0.7930,73,2026-08-18
GTM,Guatemala,0.7488,0.4880,0.6797,0.6290,136,2026-08-18
GIN,Guinea,0.5998,0.3620,0.4803,0.4710,181,2026-08-18
GNB,Guinea-Bissau,0.6132,0.4150,0.4432,0.4830,179,2026-08-18
GUY,Guyana,0.7075,0.6493,0.8882,0.7420,95,2026-08-18
HTI,Haiti,0.6727,0.4964,0.5034,0.5520,158,2026-08-18
HND,Honduras,0.7804,0.5199,0.5989,0.6240,138,2026-08-18
HKG,"Hong Kong, China (SAR)",0.9895,0.9074,0.9724,0.9560,4,2026-08-18
HUN,Hungary,0.8455,0.8270,0.8814,0.8510,47,2026-08-18
ISL,Iceland,0.9664,0.9589,0.9523,0.9590,3,2026-08-18
IND,India,0.7345,0.5686,0.6407,0.6440,134,2026-08-18
IDN,Indonesia,0.7423,0.6734,0.7238,0.7130,112,2026-08-18
IRN,Iran (Islamic Republic of),0.8393,0.7503,0.7546,0.7800,78,2026-08-18
IRQ,Iraq,0.7898,0.5666,0.6813,0.6730,128,2026-08-18
IRL,Ireland,0.9649,0.8886,1.0000,0.9500,7,2026-08-18
ISR,Israel,0.9631,0.8656,0.9180,0.9150,25,2026-08-18
ITA,Italy,0.9855,0.8207,0.9204,0.9060,30,2026-08-18
JAM,Jamaica,0.7789,0.6544,0.6910,0.7060,115,2026-08-18
JPN,Japan,0.9972,0.8516,0.9182,0.9200,24,2026-08-18
JOR,Jordan,0.8341,0.6990,0.6846,0.7360,99,2026-08-18
KAZ,Kazakhstan,0.7614,0.8260,0.8187,0.8020,67,2026-08-18
KEN,Kenya,0.6470,0.5724,0.5850,0.6010,146,2026-08-18
KIR,Kiribati,0.7332,0.6321,0.5345,0.6280,137,2026-08-18
PRK,Korea (Democratic People's Rep. of),,,,,,2026-08-18
KOR,Korea (Republic of),0.9850,0.8791,0.9262,0.9290,19,2026-08-18
KWT,Kuwait,0.9271,0.6839,0.9578,0.8470,49,2026-08-18
KGZ,Kyrgyzstan,0.7767,0.7597,0.5842,0.7010,117,2026-08-18
LAO,Lao People's Democratic Republic,0.7538,0.4812,0.6570,0.6200,139,2026-08-18
LVA,Latvia,0.8604,0.9043,0.8717,0.8790,37,2026-08-18
LBN,Lebanon,0.8372,0.6215,0.7271,0.7230,109,2026-08-18
LSO,Lesotho,0.5082,0.5590,0.4983,0.5210,168,2026-08-18
LBR,Liberia,0.6323,0.4680,0.3909,0.4870,177,2026-08-18
LBY,Libya,0.8023,0.6475,0.7985,0.7460,92,2026-08-18
LIE,Liechtenstein,0.9947,0.8413,1.0000,0.9420,12,2026-08-18
LTU,Lithuania,0.8353,0.9055,0.8978,0.8790,37,2026-08-18
LUX,Luxembourg,0.9629,0.8264,1.0000,0.9270,20,2026-08-18
MDG,Madagascar,0.6958,0.4090,0.4054,0.4870,177,2026-08-18
MWI,Malawi,0.6600,0.4944,0.4021,0.5080,172,2026-08-18
MYS,Malaysia,0.8655,0.7175,0.8473,0.8070,63,2026-08-18
MDV,Maldives,0.9360,0.5970,0.7914,0.7620,87,2026-08-18
MLI,Mali,0.6064,0.2497,0.4558,0.4100,188,2026-08-18
MLT,Malta,0.9801,0.8476,0.9210,0.9150,25,2026-08-18
MHL,Marshall Islands,0.6946,0.8824,0.6386,0.7310,102,2026-08-18
MRT,Mauritania,0.6876,0.3821,0.6010,0.5400,164,2026-08-18
MUS,Mauritius,0.8304,0.7389,0.8231,0.7960,72,2026-08-18
MEX,Mexico,0.8436,0.7103,0.7937,0.7810,77,2026-08-18
FSM,Micronesia (Federated States of),0.7835,0.5948,0.5458,0.6340,135,2026-08-18
MDA,Moldova (Republic of),0.7480,0.8085,0.7348,0.7630,86,2026-08-18
MCO,Monaco,,,,,,2026-08-18
MNG,Mongolia,0.8103,0.7174,0.7008,0.7410,96,2026-08-18
MNE,Montenegro,0.8745,0.8396,0.8182,0.8440,50,2026-08-18
MAR,Morocco,0.8457,0.6071,0.6611,0.6980,120,2026-08-18
MOZ,Mozambique,0.6096,0.4266,0.3778,0.4610,183,2026-08-18
MMR,Myanmar,0.7270,0.5523,0.5586,0.6080,144,2026-08-18
NAM,Namibia,0.5855,0.5681,0.6830,0.6100,142,2026-08-18
NRU,Nauru,0.6771,0.6572,0.7563,0.6960,122,2026-08-18
NPL,Nepal,0.7767,0.5008,0.5582,0.6010,146,2026-08-18
NLD,Netherlands,0.9608,0.9194,0.9593,0.9460,10,2026-08-18
NZL,New Zealand,0.9693,0.9315,0.9183,0.9390,16,2026-08-18
NIC,Nicaragua,0.8402,0.5915,0.6033,0.6690,130,2026-08-18
NER,Niger,0.6474,0.2443,0.3855,0.3940,189,2026-08-18
NGA,Nigeria,0.5174,0.5449,0.5833,0.5480,161,2026-08-18
MKD,North Macedonia,0.8290,0.7022,0.7703,0.7650,83,2026-08-18
NOR,Norway,0.9753,0.9354,0.9878,0.9660,2,2026-08-18
OMN,Oman,0.8298,0.7565,0.8758,0.8190,59,2026-08-18
PAK,Pakistan,0.7143,0.3667,0.6018,0.5400,164,2026-08-18
PLW,Palau,0.6979,0.9133,0.7953,0.7970,71,2026-08-18
PSE,"Palestine, State of",0.8222,0.6967,0.6404,0.7160,111,2026-08-18
PAN,Panama,0.8742,0.7233,0.8715,0.8200,57,2026-08-18
PNG,Papua New Guinea,0.7070,0.4735,0.5459,0.5680,154,2026-08-18
PRY,Paraguay,0.7765,0.6818,0.7371,0.7310,102,2026-08-18
PER,Peru,0.8213,0.7451,0.7221,0.7620,87,2026-08-18
PHL,Philippines,0.8029,0.6541,0.6807,0.7100,113,2026-08-18
POL,Poland,0.8769,0.8815,0.8855,0.8810,36,2026-08-18
PRT,Portugal,0.9575,0.7865,0.8862,0.8740,42,2026-08-18
QAT,Qatar,0.9471,0.7062,1.0000,0.8750,40,2026-08-18
ROU,Romania,0.8326,0.7817,0.8696,0.8270,53,2026-08-18
RUS,Russian Federation,0.7710,0.8488,0.8456,0.8210,56,2026-08-18
RWA,Rwanda,0.7251,0.4788,0.4747,0.5480,161,2026-08-18
KNA,Saint Kitts and Nevis,0.8004,0.8616,0.8535,0.8380,51,2026-08-18
LCA,Saint Lucia,0.7891,0.6390,0.7546,0.7250,108,2026-08-18
VCT,Saint Vincent and the Grenadines,0.7534,0.8180,0.7470,0.7720,81,2026-08-18
WSM,Samoa,0.8092,0.7244,0.5900,0.7020,116,2026-08-18
SMR,San Marino,0.9759,0.6952,0.9604,0.8670,43,2026-08-18
STP,Sao Tome and Principe,0.7507,0.5490,0.5593,0.6130,141,2026-08-18
SAU,Saudi Arabia,0.8908,0.7985,0.9406,0.8750,40,2026-08-18
SEN,Senegal,0.7371,0.3503,0.5355,0.5170,169,2026-08-18
SRB,Serbia,0.8329,0.7864,0.7965,0.8050,65,2026-08-18
SYC,Seychelles,0.7960,0.7592,0.8532,0.8020,67,2026-08-18
SLE,Sierra Leone,0.6217,0.3678,0.4200,0.4580,184,2026-08-18
SGP,Singapore,0.9867,0.8670,1.0000,0.9490,9,2026-08-18
SVK,Slovakia,0.8512,0.8425,0.8721,0.8550,45,2026-08-18
SVN,Slovenia,0.9559,0.9129,0.9109,0.9260,22,2026-08-18
SLB,Solomon Islands,0.7806,0.4821,0.4719,0.5620,156,2026-08-18
SOM,Somalia,0.5555,0.2758,0.3583,0.3800,193,2026-08-18
ZAF,South Africa,0.6382,0.7831,0.7374,0.7170,110,2026-08-18
SSD,South Sudan,0.5472,0.3474,0.2919,0.3810,192,2026-08-18
ESP,Spain,0.9833,0.8482,0.9052,0.9110,27,2026-08-18
LKA,Sri Lanka,0.8709,0.7539,0.7219,0.7800,78,2026-08-18
SDN,Sudan,0.7012,0.3652,0.5377,0.5160,170,2026-08-18
SUR,Suriname,0.7737,0.5840,0.7270,0.6900,124,2026-08-18
SWE,Sweden,0.9770,0.9225,0.9585,0.9520,5,2026-08-18
CHE,Switzerland,0.9885,0.9241,0.9883,0.9670,1,2026-08-18
SYR,Syrian Arab Republic,0.8046,0.3973,0.5411,0.5570,157,2026-08-18
TJK,Tajikistan,0.7890,0.6780,0.5850,0.6790,126,2026-08-18
TZA,Tanzania (United Republic of),0.7197,0.4265,0.4909,0.5320,167,2026-08-18
THA,Thailand,0.9182,0.7273,0.7748,0.8030,66,2026-08-18
TLS,Timor-Leste,0.7547,0.5685,0.4215,0.5660,155,2026-08-18
TGO,Togo,0.6398,0.5464,0.4679,0.5470,163,2026-08-18
TON,Tonga,0.7888,0.8151,0.6273,0.7390,98,2026-08-18
TTO,Trinidad and Tobago,0.8417,0.7830,0.8180,0.8140,60,2026-08-18
TUN,Tunisia,0.8348,0.6712,0.7001,0.7320,101,2026-08-18
TUR,Trkiye,0.8996,0.7937,0.8752,0.8550,45,2026-08-18
TKM,Turkmenistan,0.7602,0.7392,0.7336,0.7440,94,2026-08-18
TUV,Tuvalu,0.6901,0.6910,0.5833,0.6530,132,2026-08-18
UGA,Uganda,0.6714,0.5272,0.4697,0.5500,159,2026-08-18
UKR,Ukraine,0.7471,0.7410,0.7156,0.7340,100,2026-08-18
ARE,United Arab Emirates,0.9107,0.9038,0.9982,0.9370,17,2026-08-18
GBR,United Kingdom,0.9562,0.9367,0.9282,0.9400,15,2026-08-18
USA,United States,0.8954,0.9084,0.9797,0.9270,20,2026-08-18
URY,Uruguay,0.8923,0.7839,0.8162,0.8300,52,2026-08-18
UZB,Uzbekistan,0.7950,0.7302,0.6630,0.7270,106,2026-08-18
VUT,Vanuatu,0.7768,0.5675,0.5256,0.6140,140,2026-08-18
VEN,Venezuela (Bolivarian Republic of),0.7862,0.6960,0.6230,0.6990,119,2026-08-18
VNM,Viet Nam,0.8397,0.6444,0.7075,0.7260,107,2026-08-18
YEM,Yemen,0.6726,0.3130,0.3630,0.4240,186,2026-08-18
ZMB,Zambia,0.6431,0.5489,0.5215,0.5690,153,2026-08-18
ZWE,Zimbabwe,0.6060,0.5999,0.4584,0.5500,159,2026-08-18
ZZA.VHHD,Very high human development,0.9125,0.8704,0.9227,0.9020,,2026-08-18
ZZB.HHD,High human development,0.8493,0.6906,0.7617,0.7640,,2026-08-18
ZZC.MHD,Medium human development,0.7377,0.5647,0.6293,0.6400,,2026-08-18
ZZD.LHD,Low human development,0.6407,0.4125,0.5229,0.5170,,2026-08-18
ZZE.AS,Arab States,0.7894,0.5892,0.7506,0.7040,,2026-08-18
ZZF.EAP,East Asia and the Pacific,0.8649,0.6762,0.7679,0.7660,,2026-08-18
ZZG.ECA,Europe and Central Asia,0.8241,0.7843,0.7985,0.8020,,2026-08-18
ZZH.LAC,Latin America and the Caribbean,0.8264,0.7096,0.7580,0.7630,,2026-08-18
ZZI.SA,South Asia,0.7453,0.5508,0.6411,0.6410,,2026-08-18
ZZJ.SSA,Sub-Saharan Africa,0.6252,0.4858,0.5441,0.5490,,2026-08-18
ZZK.WORLD,World,0.8001,0.6495,0.7780,0.7390,,2026-08-18
