ISO3,Country_ITU,Broadband_per100,Year_Used,Status,Retrieval_Date
ABW,Aruba,17.4862,2022,Reported,2026-08-18
AFG,Afghanistan,0.0801,2023,Reported,2026-08-18
AGO,Angola,0.3737,2023,Reported,2026-08-18
AIA,Anguilla,35.8745,2022,Reported,2026-08-18
ALB,Albania,22.5049,2023,Reported,2026-08-18
AND,Andorra,51.7401,2023,Reported,2026-08-18
ARE,United Arab Emirates,37.0968,2023,Reported,2026-08-18
ARG,Argentina,25.3581,2023,Reported,2026-08-18
ARM,Armenia,18.5458,2023,Reported,2026-08-18
ASC,Ascension,,,Missing,2026-08-18
ATG,Antigua and Barbuda,10.6818,2022,Reported,2026-08-18
AUS,Australia,36.6274,2023,Reported,2026-08-18
AUT,Austria,29.3725,2023,Reported,2026-08-18
AZE,Azerbaijan,20.8825,2023,Reported,2026-08-18
BDI,Burundi,0.0203,2023,Reported,2026-08-18
BEL,Belgium,43.7026,2023,Reported,2026-08-18
BEN,Benin,0.1709,2023,Reported,2026-08-18
BFA,Burkina Faso,0.4595,2023,Reported,2026-08-18
BGD,Bangladesh,7.8925,2023,Reported,2026-08-18
BGR,Bulgaria,37.0236,2023,Reported,2026-08-18
BHR,Bahrain,17.1582,2023,Reported,2026-08-18
BHS,Bahamas,23.8163,2023,Reported,2026-08-18
BIH,Bosnia and Herzegovina,28.4401,2023,Reported,2026-08-18
BLR,Belarus,35.0932,2023,Reported,2026-08-18
BLZ,Belize,9.7539,2022,Reported,2026-08-18
BMU,Bermuda,35.5805,2022,Reported,2026-08-18
BOL,Bolivia (Plurinational State of),11.1529,2023,Reported,2026-08-18
BRA,Brazil,22.4192,2023,Reported,2026-08-18
BRB,Barbados,37.4843,2022,Reported,2026-08-18
BRN,Brunei Darussalam,20.2120,2023,Reported,2026-08-18
BTN,Bhutan,1.3188,2023,Reported,2026-08-18
BWA,Botswana,6.1650,2023,Reported,2026-08-18
CAF,Central African Rep.,0.0161,2022,Reported,2026-08-18
CAN,Canada,42.5242,2023,Reported,2026-08-18
CHE,Switzerland,46.8365,2023,Reported,2026-08-18
CHL,Chile,22.9954,2023,Reported,2026-08-18
CHN,China,44.7289,2023,Reported,2026-08-18
CIV,Côte d'Ivoire,1.3634,2023,Reported,2026-08-18
CMR,Cameroon,2.1286,2022,Reported,2026-08-18
COD,Dem. Rep. of the Congo,0.0220,2023,Reported,2026-08-18
COG,Congo (Rep. of the),1.2680,2023,Reported,2026-08-18
COK,Cook Islands,21.0487,2022,Reported,2026-08-18
COL,Colombia,17.0370,2023,Reported,2026-08-18
COM,Comoros,0.3879,2023,Reported,2026-08-18
CPV,Cabo Verde,7.2301,2023,Reported,2026-08-18
CRI,Costa Rica,22.5231,2023,Reported,2026-08-18
CUB,Cuba,2.9712,2023,Reported,2026-08-18
CUW,Curacao,31.5127,2023,Reported,2026-08-18
CYM,Cayman Islands,56.3604,2022,Reported,2026-08-18
CYP,Cyprus,36.9006,2023,Reported,2026-08-18
CZE,Czech Republic,37.9100,2023,Reported,2026-08-18
DEU,Germany,45.3805,2023,Reported,2026-08-18
DJI,Djibouti,1.4721,2023,Reported,2026-08-18
DMA,Dominica,20.8601,2022,Reported,2026-08-18
DNK,Denmark,44.0352,2023,Reported,2026-08-18
DOM,Dominican Rep.,11.1346,2023,Reported,2026-08-18
DZA,Algeria,12.0087,2023,Reported,2026-08-18
ECU,Ecuador,16.0679,2023,Reported,2026-08-18
EGY,Egypt,10.8642,2023,Reported,2026-08-18
ERI,Eritrea,0.1654,2022,Reported,2026-08-18
ESP,Spain,37.2148,2023,Reported,2026-08-18
EST,Estonia,35.2540,2023,Reported,2026-08-18
ETH,Ethiopia,0.5348,2023,Reported,2026-08-18
FIN,Finland,35.3318,2023,Reported,2026-08-18
FJI,Fiji,1.8295,2023,Reported,2026-08-18
FLK,Falkland (Malvinas) Is.,30.1146,2022,Reported,2026-08-18
FRA,France,48.6688,2023,Reported,2026-08-18
FRO,Faroe Islands,34.5874,2022,Reported,2026-08-18
FSM,Micronesia,5.8182,2022,Reported,2026-08-18
GAB,Gabon,3.9729,2023,Reported,2026-08-18
GBR,United Kingdom,41.4368,2023,Reported,2026-08-18
GEO,Georgia,29.3086,2023,Reported,2026-08-18
GHA,Ghana,0.5555,2023,Reported,2026-08-18
GIB,Gibraltar,60.9748,2022,Reported,2026-08-18
GIN,Guinea,0.0063,2022,Reported,2026-08-18
GMB,Gambia,0.5021,2023,Reported,2026-08-18
GNB,Guinea-Bissau,0.3104,2023,Reported,2026-08-18
GNQ,Equatorial Guinea,0.1007,2022,Reported,2026-08-18
GRC,Greece,43.8540,2023,Reported,2026-08-18
GRD,Grenada,29.7674,2022,Reported,2026-08-18
GRL,Greenland,31.9843,2022,Reported,2026-08-18
GTM,Guatemala,5.0808,2023,Reported,2026-08-18
GUF,French Guiana,,,Missing,2026-08-18
GUM,Guam,1.8392,2022,Reported,2026-08-18
GUY,Guyana,12.9356,2022,Reported,2026-08-18
HKG,"Hong Kong, China",39.8840,2023,Reported,2026-08-18
HND,Honduras,4.3621,2023,Reported,2026-08-18
HRV,Croatia,28.4710,2023,Reported,2026-08-18
HTI,Haiti,0.3068,2022,Reported,2026-08-18
HUN,Hungary,36.7902,2023,Reported,2026-08-18
IDN,Indonesia,4.8166,2023,Reported,2026-08-18
IND,India,2.7453,2023,Reported,2026-08-18
IRL,Ireland,31.8908,2023,Reported,2026-08-18
IRN,Iran (Islamic Republic of),12.0206,2023,Reported,2026-08-18
IRQ,Iraq,17.2313,2023,Reported,2026-08-18
ISL,Iceland,37.4246,2023,Reported,2026-08-18
ISR,Israel,29.4357,2023,Reported,2026-08-18
ITA,Italy,31.8411,2023,Reported,2026-08-18
JAM,Jamaica,15.7852,2023,Reported,2026-08-18
JOR,Jordan,7.0375,2023,Reported,2026-08-18
JPN,Japan,38.6312,2023,Reported,2026-08-18
KAZ,Kazakhstan,14.3457,2023,Reported,2026-08-18
KEN,Kenya,2.3888,2023,Reported,2026-08-18
KGZ,Kyrgyzstan,6.4465,2023,Reported,2026-08-18
KHM,Cambodia,3.6418,2023,Reported,2026-08-18
KIR,Kiribati,0.0400,2023,Reported,2026-08-18
KNA,Saint Kitts and Nevis,46.7447,2022,Reported,2026-08-18
KOR,Korea (Rep. of),46.5676,2023,Reported,2026-08-18
KWT,Kuwait,1.0137,2023,Reported,2026-08-18
LAO,Lao P.D.R.,2.7202,2023,Reported,2026-08-18
LBN,Lebanon,7.2917,2022,Reported,2026-08-18
LBR,Liberia,0.2747,2022,Reported,2026-08-18
LBY,Libya,4.5184,2022,Reported,2026-08-18
LCA,Saint Lucia,13.5719,2022,Reported,2026-08-18
LIE,Liechtenstein,49.4065,2023,Reported,2026-08-18
LKA,Sri Lanka,8.7655,2023,Reported,2026-08-18
LSO,Lesotho,0.3837,2023,Reported,2026-08-18
LTU,Lithuania,27.9638,2023,Reported,2026-08-18
LUX,Luxembourg,38.3793,2023,Reported,2026-08-18
LVA,Latvia,25.9948,2023,Reported,2026-08-18
MAC,"Macao, China",29.6759,2023,Reported,2026-08-18
MAR,Morocco,7.0218,2023,Reported,2026-08-18
MCO,Monaco,55.8836,2023,Reported,2026-08-18
MDA,Moldova,27.3086,2023,Reported,2026-08-18
MDG,Madagascar,0.1245,2023,Reported,2026-08-18
MDV,Maldives,18.6293,2023,Reported,2026-08-18
MEX,Mexico,20.7529,2023,Reported,2026-08-18
MHL,Marshall Islands,2.3505,2022,Reported,2026-08-18
MKD,North Macedonia,29.1772,2023,Reported,2026-08-18
MLI,Mali,0.7742,2022,Reported,2026-08-18
MLT,Malta,44.2825,2023,Reported,2026-08-18
MMR,Myanmar,2.7983,2023,Reported,2026-08-18
MNE,Montenegro,32.0155,2023,Reported,2026-08-18
MNG,Mongolia,14.5529,2023,Reported,2026-08-18
MOZ,Mozambique,0.1490,2023,Reported,2026-08-18
MRT,Mauritania,0.5904,2023,Reported,2026-08-18
MSR,Montserrat,71.6146,2022,Reported,2026-08-18
MTQ,Martinique,,,Missing,2026-08-18
MUS,Mauritius,26.9082,2023,Reported,2026-08-18
MWI,Malawi,0.0796,2023,Reported,2026-08-18
MYS,Malaysia,13.0287,2023,Reported,2026-08-18
NAM,Namibia,3.5201,2023,Reported,2026-08-18
NCL,New Caledonia,19.3729,2022,Reported,2026-08-18
NER,Niger,0.1076,2023,Reported,2026-08-18
NGA,Nigeria,0.0513,2023,Reported,2026-08-18
NIC,Nicaragua,5.4303,2023,Reported,2026-08-18
NLD,Netherlands,43.2644,2023,Reported,2026-08-18
NOR,Norway,45.4377,2023,Reported,2026-08-18
NPL,Nepal (Republic of),10.6751,2023,Reported,2026-08-18
NRU,Nauru,9.9568,2022,Reported,2026-08-18
NZL,New Zealand,37.8531,2023,Reported,2026-08-18
OMN,Oman,10.8793,2023,Reported,2026-08-18
PAK,Pakistan,1.3562,2023,Reported,2026-08-18
PAN,Panama,18.1341,2023,Reported,2026-08-18
PER,Peru,10.4364,2023,Reported,2026-08-18
PHL,Philippines,6.5393,2023,Reported,2026-08-18
PLW,Palau,7.3334,2023,Reported,2026-08-18
PNG,Papua New Guinea,0.2281,2023,Reported,2026-08-18
POL,Poland,24.5262,2023,Reported,2026-08-18
PRI,Puerto Rico,23.1596,2023,Reported,2026-08-18
PRT,Portugal,44.1107,2023,Reported,2026-08-18
PRY,Paraguay,12.8836,2023,Reported,2026-08-18
PSE,State of Palestine,8.3706,2023,Reported,2026-08-18
PYF,French Polynesia,35.5534,2023,Reported,2026-08-18
QAT,Qatar,11.6411,2023,Reported,2026-08-18
REU,Réunion,,,Missing,2026-08-18
ROU,Romania,34.6706,2023,Reported,2026-08-18
RUS,Russian Federation,25.8239,2023,Reported,2026-08-18
RWA,Rwanda,0.4456,2023,Reported,2026-08-18
