ISO3,Country,M49_Region,M49_Subregion,WB_Region,U,Penetration_Year,Broadband_per100,Broadband_Year,HiTech_Pct,HiTech_Year,I_pen,I_bb,I_ht,EGDI,OSI,TII,p,F_egov,I_egov,I_health,I_education,I_income
ZMB,Zambia,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,16.4507,2023,0.6814,2023,1.1636,2023,0.1645,0.0132,0.0182,0.5424,0.4958,0.5088,0.1645,0.8355,0.0130,0.6431,0.5489,0.5215
KEN,Kenya,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,32.0704,2023,2.3888,2023,3.0417,2023,0.3207,0.0462,0.0475,0.6314,0.7770,0.5902,0.3207,0.6793,0.1868,0.6470,0.5724,0.5850
PAK,Pakistan,Asia,Southern Asia,"Middle East, North Africa, Afghanistan & Pakistan",18.9350,2020,1.3562,2023,1.9028,2023,0.1893,0.0262,0.0297,0.5096,0.7042,0.4745,0.1893,0.8106,0.2297,0.7143,0.3667,0.6018
RWA,Rwanda,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,28.8058,2023,0.4456,2023,4.7847,2022,0.2881,0.0086,0.0748,0.5799,0.8207,0.3724,0.2881,0.7119,0.4483,0.7251,0.4788,0.4747
UGA,Uganda,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,9.2870,2023,0.0913,2023,1.4081,2023,0.0929,0.0018,0.0220,0.4464,0.6069,0.2299,0.0929,0.9071,0.3770,0.6714,0.5272,0.4697
CIV,Côte d'Ivoire,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,40.6528,2023,1.3634,2023,4.4131,2023,0.4065,0.0264,0.0690,0.5587,0.5219,0.6693,0.4065,0.5935,0.1474,0.5987,0.4218,0.6019
LKA,Sri Lanka,Asia,Southern Asia,South Asia,51.2000,2023,8.7655,2023,1.4172,2023,0.5120,0.1694,0.0222,0.6667,0.5494,0.7936,0.5120,0.4880,0.2442,0.8709,0.7539,0.7219
NPL,Nepal,Asia,Southern Asia,South Asia,45.8068,2023,10.6751,2023,0.6175,2022,0.4581,0.2063,0.0097,0.5781,0.4481,0.7653,0.4581,0.5419,0.3172,0.7767,0.5008,0.5582
TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,28.4319,2023,0.1050,2023,5.0681,2023,0.2843,0.0020,0.0792,0.4327,0.4791,0.3792,0.2843,0.7157,0.0999,0.7197,0.4265,0.4909
BEN,Benin,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,32.3940,2023,0.1709,2023,4.4180,2023,0.3239,0.0033,0.0691,0.4578,0.5202,0.4817,0.3239,0.6761,0.0385,0.6147,0.3908,0.5329
MWI,Malawi,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,17.9881,2023,0.0796,2023,5.3106,2023,0.1799,0.0015,0.0830,0.3753,0.4625,0.1886,0.1799,0.8201,0.2739,0.6600,0.4944,0.4021
NGA,Nigeria,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,40.0640,2023,0.0513,2023,3.5304,2023,0.4006,0.0010,0.0552,0.4815,0.5372,0.4836,0.4006,0.5994,0.0536,0.5174,0.5449,0.5833
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,38.6748,2023,1.5746,2023,1.9422,2023,0.3867,0.0304,0.0304,0.4481,0.4100,0.3947,0.3867,0.6133,0.0153,0.6060,0.5999,0.4584
MMR,Myanmar,Asia,South-eastern Asia,East Asia & Pacific,45.4477,2020,2.7983,2023,2.9463,2023,0.4545,0.0541,0.0461,0.5001,0.3259,0.6662,0.4545,0.5455,0.3403,0.7270,0.5523,0.5586
IND,India,Asia,Southern Asia,South Asia,60.2523,2023,2.7453,2023,14.9343,2023,0.6025,0.0531,0.2334,0.6678,0.8184,0.5700,0.6025,0.3975,0.2484,0.7345,0.5686,0.6407
MDG,Madagascar,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,18.2408,2023,0.1245,2023,0.4781,2023,0.1824,0.0024,0.0075,0.3235,0.4045,0.1518,0.1824,0.8176,0.2527,0.6958,0.4090,0.4054
TLS,Timor-Leste,Asia,South-eastern Asia,East Asia & Pacific,35.0420,2021,0.0058,2023,1.5261,2023,0.3504,0.0001,0.0239,0.4020,0.3406,0.3551,0.3504,0.6496,0.0145,0.7547,0.5685,0.4215
