ISO3,Country,M49_Region,M49_Subregion,WB_Region
ABW,Aruba,Americas,Latin America and the Caribbean,Latin America & Caribbean 
AFG,Afghanistan,Asia,Southern Asia,"Middle East, North Africa, Afghanistan & Pakistan"
AGO,Angola,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
AIA,Anguilla,Americas,Latin America and the Caribbean,
ALA,Åland Islands,Europe,Northern Europe,
ALB,Albania,Europe,Southern Europe,Europe & Central Asia
AND,Andorra,Europe,Southern Europe,Europe & Central Asia
ARE,United Arab Emirates,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan"
ARG,Argentina,Americas,Latin America and the Caribbean,Latin America & Caribbean 
ARM,Armenia,Asia,Western Asia,Europe & Central Asia
ASM,American Samoa,Oceania,Polynesia,East Asia & Pacific
ATA,Antarctica,,,
ATF,French Southern Territories,Africa,Sub-Saharan Africa,
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Latin America & Caribbean 
AUS,Australia,Oceania,Australia and New Zealand,East Asia & Pacific
AUT,Austria,Europe,Western Europe,Europe & Central Asia
AZE,Azerbaijan,Asia,Western Asia,Europe & Central Asia
BDI,Burundi,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
BEL,Belgium,Europe,Western Europe,Europe & Central Asia
BEN,Benin,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
BES,"Bonaire, Sint Eustatius and Saba",Americas,Latin America and the Caribbean,
BFA,Burkina Faso,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
BGD,Bangladesh,Asia,Southern Asia,South Asia
BGR,Bulgaria,Europe,Eastern Europe,Europe & Central Asia
BHR,Bahrain,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan"
BHS,Bahamas,Americas,Latin America and the Caribbean,Latin America & Caribbean 
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Europe & Central Asia
BLM,Saint Barthélemy,Americas,Latin America and the Caribbean,
BLR,Belarus,Europe,Eastern Europe,Europe & Central Asia
BLZ,Belize,Americas,Latin America and the Caribbean,Latin America & Caribbean 
BMU,Bermuda,Americas,Northern America,North America
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Latin America & Caribbean 
BRA,Brazil,Americas,Latin America and the Caribbean,Latin America & Caribbean 
BRB,Barbados,Americas,Latin America and the Caribbean,Latin America & Caribbean 
BRN,Brunei Darussalam,Asia,South-eastern Asia,East Asia & Pacific
BTN,Bhutan,Asia,Southern Asia,South Asia
BVT,Bouvet Island,Americas,Latin America and the Caribbean,
BWA,Botswana,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
CAF,Central African Republic,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
CAN,Canada,Americas,Northern America,North America
CCK,Cocos (Keeling) Islands,Oceania,Australia and New Zealand,
CHE,Switzerland,Europe,Western Europe,Europe & Central Asia
CHI,Channel Islands,,,Europe & Central Asia
CHL,Chile,Americas,Latin America and the Caribbean,Latin America & Caribbean 
CHN,China,Asia,Eastern Asia,East Asia & Pacific
CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
CMR,Cameroon,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
COD,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
COG,Congo,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
COK,Cook Islands,Oceania,Polynesia,
COL,Colombia,Americas,Latin America and the Caribbean,Latin America & Caribbean 
COM,Comoros,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
CPV,Cabo Verde,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
CRI,Costa Rica,Americas,Latin America and the Caribbean,Latin America & Caribbean 
CUB,Cuba,Americas,Latin America and the Caribbean,Latin America & Caribbean 
CUW,Curaçao,Americas,Latin America and the Caribbean,Latin America & Caribbean 
CXR,Christmas Island,Oceania,Australia and New Zealand,
CYM,Cayman Islands,Americas,Latin America and the Caribbean,Latin America & Caribbean 
CYP,Cyprus,Asia,Western Asia,Europe & Central Asia
CZE,Czechia,Europe,Eastern Europe,Europe & Central Asia
DEU,Germany,Europe,Western Europe,Europe & Central Asia
DJI,Djibouti,Africa,Sub-Saharan Africa,"Middle East, North Africa, Afghanistan & Pakistan"
DMA,Dominica,Americas,Latin America and the Caribbean,Latin America & Caribbean 
DNK,Denmark,Europe,Northern Europe,Europe & Central Asia
DOM,Dominican Republic,Americas,Latin America and the Caribbean,Latin America & Caribbean 
DZA,Algeria,Africa,Northern Africa,"Middle East, North Africa, Afghanistan & Pakistan"
ECU,Ecuador,Americas,Latin America and the Caribbean,Latin America & Caribbean 
EGY,Egypt,Africa,Northern Africa,"Middle East, North Africa, Afghanistan & Pakistan"
ERI,Eritrea,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
ESH,Western Sahara,Africa,Northern Africa,
ESP,Spain,Europe,Southern Europe,Europe & Central Asia
EST,Estonia,Europe,Northern Europe,Europe & Central Asia
ETH,Ethiopia,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
FIN,Finland,Europe,Northern Europe,Europe & Central Asia
FJI,Fiji,Oceania,Melanesia,East Asia & Pacific
FLK,Falkland Islands (Malvinas),Americas,Latin America and the Caribbean,
FRA,France,Europe,Western Europe,Europe & Central Asia
FRO,Faroe Islands,Europe,Northern Europe,Europe & Central Asia
FSM,Micronesia (Federated States of),Oceania,Micronesia,East Asia & Pacific
GAB,Gabon,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Europe & Central Asia
GEO,Georgia,Asia,Western Asia,Europe & Central Asia
GGY,Guernsey,Europe,Northern Europe,
GHA,Ghana,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
GIB,Gibraltar,Europe,Southern Europe,Europe & Central Asia
GIN,Guinea,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
GLP,Guadeloupe,Americas,Latin America and the Caribbean,
GMB,Gambia,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
GRC,Greece,Europe,Southern Europe,Europe & Central Asia
GRD,Grenada,Americas,Latin America and the Caribbean,Latin America & Caribbean 
GRL,Greenland,Americas,Northern America,Europe & Central Asia
GTM,Guatemala,Americas,Latin America and the Caribbean,Latin America & Caribbean 
GUF,French Guiana,Americas,Latin America and the Caribbean,
GUM,Guam,Oceania,Micronesia,East Asia & Pacific
GUY,Guyana,Americas,Latin America and the Caribbean,Latin America & Caribbean 
HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,East Asia & Pacific
HMD,Heard Island and McDonald Islands,Oceania,Australia and New Zealand,
HND,Honduras,Americas,Latin America and the Caribbean,Latin America & Caribbean 
HRV,Croatia,Europe,Southern Europe,Europe & Central Asia
HTI,Haiti,Americas,Latin America and the Caribbean,Latin America & Caribbean 
HUN,Hungary,Europe,Eastern Europe,Europe & Central Asia
IDN,Indonesia,Asia,South-eastern Asia,East Asia & Pacific
IMN,Isle of Man,Europe,Northern Europe,Europe & Central Asia
IND,India,Asia,Southern Asia,South Asia
IOT,British Indian Ocean Territory,Africa,Sub-Saharan Africa,
IRL,Ireland,Europe,Northern Europe,Europe & Central Asia
IRN,Iran (Islamic Republic of),Asia,Southern Asia,"Middle East, North Africa, Afghanistan & Pakistan"
IRQ,Iraq,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan"
ISL,Iceland,Europe,Northern Europe,Europe & Central Asia
ISR,Israel,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan"
ITA,Italy,Europe,Southern Europe,Europe & Central Asia
JAM,Jamaica,Americas,Latin America and the Caribbean,Latin America & Caribbean 
JEY,Jersey,Europe,Northern Europe,
JOR,Jordan,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan"
JPN,Japan,Asia,Eastern Asia,East Asia & Pacific
KAZ,Kazakhstan,Asia,Central Asia,Europe & Central Asia
KEN,Kenya,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
KGZ,Kyrgyzstan,Asia,Central Asia,Europe & Central Asia
KHM,Cambodia,Asia,South-eastern Asia,East Asia & Pacific
KIR,Kiribati,Oceania,Micronesia,East Asia & Pacific
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Latin America & Caribbean 
KOR,Republic of Korea,Asia,Eastern Asia,East Asia & Pacific
KWT,Kuwait,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan"
LAO,Lao People's Democratic Republic,Asia,South-eastern Asia,East Asia & Pacific
LBN,Lebanon,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan"
LBR,Liberia,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
LBY,Libya,Africa,Northern Africa,"Middle East, North Africa, Afghanistan & Pakistan"
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Latin America & Caribbean 
LIE,Liechtenstein,Europe,Western Europe,Europe & Central Asia
LKA,Sri Lanka,Asia,Southern Asia,South Asia
LSO,Lesotho,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
LTU,Lithuania,Europe,Northern Europe,Europe & Central Asia
LUX,Luxembourg,Europe,Western Europe,Europe & Central Asia
LVA,Latvia,Europe,Northern Europe,Europe & Central Asia
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,East Asia & Pacific
MAF,Saint Martin (French Part),Americas,Latin America and the Caribbean,Latin America & Caribbean 
MAR,Morocco,Africa,Northern Africa,"Middle East, North Africa, Afghanistan & Pakistan"
MCO,Monaco,Europe,Western Europe,Europe & Central Asia
