ISO3,Country_WDI,HiTech_Pct,Year_Used,Status,Retrieval_Date
ABW,Aruba,6.8680,2023,Reported,2026-08-18
AFG,Afghanistan,,,Missing,2026-08-18
AGO,Angola,23.4714,2023,Reported,2026-08-18
ALB,Albania,0.6823,2023,Reported,2026-08-18
AND,Andorra,21.4346,2023,Reported,2026-08-18
ARE,United Arab Emirates,8.9603,2023,Reported,2026-08-18
ARG,Argentina,5.4496,2023,Reported,2026-08-18
ARM,Armenia,20.9052,2023,Reported,2026-08-18
ASM,American Samoa,,,Missing,2026-08-18
ATG,Antigua and Barbuda,0.0000,2023,Reported,2026-08-18
AUS,Australia,25.2583,2023,Reported,2026-08-18
AUT,Austria,15.9233,2023,Reported,2026-08-18
AZE,Azerbaijan,4.1722,2023,Reported,2026-08-18
BDI,Burundi,1.3051,2023,Reported,2026-08-18
BEL,Belgium,18.6668,2023,Reported,2026-08-18
BEN,Benin,4.4180,2023,Reported,2026-08-18
BFA,Burkina Faso,3.7978,2023,Reported,2026-08-18
BGD,Bangladesh,,,Missing,2026-08-18
BGR,Bulgaria,12.0579,2023,Reported,2026-08-18
BHR,Bahrain,0.3873,2023,Reported,2026-08-18
BHS,"Bahamas, The",0.0138,2023,Reported,2026-08-18
BIH,Bosnia and Herzegovina,4.9671,2023,Reported,2026-08-18
BLR,Belarus,6.0158,2021,Reported,2026-08-18
BLZ,Belize,0.0000,2023,Reported,2026-08-18
BMU,Bermuda,14.9373,2023,Reported,2026-08-18
BOL,Bolivia,8.1652,2023,Reported,2026-08-18
BRA,Brazil,9.8491,2023,Reported,2026-08-18
BRB,Barbados,18.4336,2023,Reported,2026-08-18
BRN,Brunei Darussalam,1.0193,2023,Reported,2026-08-18
BTN,Bhutan,0.0107,2023,Reported,2026-08-18
BWA,Botswana,0.5395,2023,Reported,2026-08-18
CAF,Central African Republic,1.8786,2023,Reported,2026-08-18
CAN,Canada,16.3718,2023,Reported,2026-08-18
CHE,Switzerland,29.3340,2023,Reported,2026-08-18
CHI,Channel Islands,,,Missing,2026-08-18
CHL,Chile,10.7196,2023,Reported,2026-08-18
CHN,China,26.5682,2023,Reported,2026-08-18
CIV,Cote d'Ivoire,4.4131,2023,Reported,2026-08-18
CMR,Cameroon,2.1036,2023,Reported,2026-08-18
COD,"Congo, Dem. Rep.",0.1996,2023,Reported,2026-08-18
COG,"Congo, Rep.",3.1597,2023,Reported,2026-08-18
COL,Colombia,8.5999,2023,Reported,2026-08-18
COM,Comoros,3.1391,2023,Reported,2026-08-18
CPV,Cabo Verde,1.1522,2023,Reported,2026-08-18
CRI,Costa Rica,24.1778,2023,Reported,2026-08-18
CUB,Cuba,7.8756,2022,Reported,2026-08-18
CUW,Curacao,,,Missing,2026-08-18
CYM,Cayman Islands,47.7014,2023,Reported,2026-08-18
CYP,Cyprus,18.7420,2023,Reported,2026-08-18
CZE,Czechia,20.3027,2023,Reported,2026-08-18
DEU,Germany,17.7818,2023,Reported,2026-08-18
DJI,Djibouti,3.2755,2023,Reported,2026-08-18
DMA,Dominica,2.8833,2023,Reported,2026-08-18
DNK,Denmark,17.1322,2023,Reported,2026-08-18
DOM,Dominican Republic,6.0309,2023,Reported,2026-08-18
DZA,Algeria,,,Missing,2026-08-18
ECU,Ecuador,7.2742,2023,Reported,2026-08-18
EGY,"Egypt, Arab Rep.",3.1629,2023,Reported,2026-08-18
ERI,Eritrea,,,Missing,2026-08-18
ESP,Spain,9.5625,2023,Reported,2026-08-18
EST,Estonia,16.5812,2023,Reported,2026-08-18
ETH,Ethiopia,3.7506,2023,Reported,2026-08-18
FIN,Finland,9.7140,2023,Reported,2026-08-18
FJI,Fiji,1.6468,2023,Reported,2026-08-18
FRA,France,22.3835,2023,Reported,2026-08-18
FRO,Faroe Islands,,,Missing,2026-08-18
FSM,"Micronesia, Fed. Sts.",,,Missing,2026-08-18
GAB,Gabon,1.7731,2023,Reported,2026-08-18
GBR,United Kingdom,28.8917,2023,Reported,2026-08-18
GEO,Georgia,2.2930,2023,Reported,2026-08-18
GHA,Ghana,2.1100,2023,Reported,2026-08-18
GIB,Gibraltar,,,Missing,2026-08-18
GIN,Guinea,,,Missing,2026-08-18
GMB,"Gambia, The",2.3423,2023,Reported,2026-08-18
GNB,Guinea-Bissau,,,Missing,2026-08-18
GNQ,Equatorial Guinea,,,Missing,2026-08-18
GRC,Greece,15.1515,2023,Reported,2026-08-18
GRD,Grenada,3.0078,2023,Reported,2026-08-18
GRL,Greenland,,,Missing,2026-08-18
GTM,Guatemala,5.7766,2023,Reported,2026-08-18
GUM,Guam,,,Missing,2026-08-18
GUY,Guyana,15.7139,2023,Reported,2026-08-18
HKG,"Hong Kong SAR, China",72.3155,2023,Reported,2026-08-18
HND,Honduras,3.3089,2023,Reported,2026-08-18
HRV,Croatia,11.0336,2023,Reported,2026-08-18
HTI,Haiti,,,Missing,2026-08-18
HUN,Hungary,18.8625,2023,Reported,2026-08-18
IDN,Indonesia,9.0831,2023,Reported,2026-08-18
IMN,Isle of Man,,,Missing,2026-08-18
IND,India,14.9343,2023,Reported,2026-08-18
IRL,Ireland,47.7738,2023,Reported,2026-08-18
IRN,"Iran, Islamic Rep.",0.8140,2022,Reported,2026-08-18
IRQ,Iraq,,,Missing,2026-08-18
ISL,Iceland,43.4245,2023,Reported,2026-08-18
ISR,Israel,34.9378,2023,Reported,2026-08-18
ITA,Italy,9.9837,2023,Reported,2026-08-18
JAM,Jamaica,2.6470,2023,Reported,2026-08-18
JOR,Jordan,2.0842,2023,Reported,2026-08-18
JPN,Japan,17.1028,2023,Reported,2026-08-18
KAZ,Kazakhstan,34.4293,2023,Reported,2026-08-18
KEN,Kenya,3.0417,2023,Reported,2026-08-18
KGZ,Kyrgyz Republic,16.3335,2023,Reported,2026-08-18
KHM,Cambodia,12.9853,2023,Reported,2026-08-18
KIR,Kiribati,2.2969,2021,Reported,2026-08-18
KNA,St. Kitts and Nevis,,,Missing,2026-08-18
KOR,"Korea, Rep.",30.2763,2023,Reported,2026-08-18
