Country,Index
Slovak Republic,76.8
Slovenia,76.1
Belarus,75.6
Ukraine,74.4
Moldova,74.3
Czechia,74.2
Belgium,73.4
Denmark,73
Finland,72.5
Norway,72.4
Netherlands,72.2
Armenia,72.1
Hungary,71.7
"Korea, Rep.",71
Sweden,70.9
Croatia,70.8
Iceland,70.3
Kyrgyzstan,70.3
Ireland,70
Austria,69.9
Estonia,69.2
Malta,68.8
Cyprus,68.5
Serbia,68.5
North Macedonia,68.2
Poland,68.2
France,68.1
Switzerland,68.1
Albania,67.8
Australia,67.4
United Kingdom,67.4
Greece,66.9
Portugal,66.3
Singapore,66.3
Taiwan,66
Luxembourg,65.9
Georgia,65.8
Bosnia and Herzegovina,65.7
New Zealand,65.4
Spain,65.3
Germany,65.2
Romania,65.2
Thailand,64.9
Italy,64.8
Latvia,64.8
Russia,64.5
Egypt,64.4
Lithuania,64
Brunei,63.4
Vietnam,63.2
United Arab Emirates,63.1
Pakistan,62.8
Indonesia,62.1
Algeria,61.9
Azerbaijan,61.8
Dominican Republic,61.5
Gambia,61.2
El Salvador,61
Canada,60.3
Mali,59.8
Peru,59.8
Philippines,59.8
Malaysia,59.7
Bulgaria,59.5
Mauritania,59.5
United States,59.4
Uruguay,59.2
Bolivia,59.1
Afghanistan,59
Guinea,58.8
Kazakhstan,58.8
Tunisia,58.6
Nepal,58.5
Argentina,58
Bhutan,57.9
Tajikistan,57.8
Bangladesh,57.6
Nigeria,57.3
China,57.1
Mongolia,57.1
Myanmar,57.1
Paraguay,57.1
Liberia,56.8
Gabon,56.7
Laos,56.7
Libya,55.9
Japan,55.8
Oman,55.7
Chile,55.1
Türkiye,55.1
Sudan,55
Cambodia,54.6
Mexico,54.6
Ethiopia,54.5
Uzbekistan,54.5
Ecuador,54.2
Guinea-Bissau,53.7
Papua New Guinea,53.7
Chad,53.3
Benin,53.1
Sierra Leone,53
Mauritius,52.6
Israel,52.2
Senegal,52.2
Hong Kong,51.8
Burundi,51.6
Jordan,51.6
Malawi,51.6
Costa Rica,51.3
Côte d’Ivoire,51.3
Kenya,51.3
"Congo, Dem. Rep",51.2
Ghana,51.1
Turkmenistan,51.1
Sri Lanka,51
Cabo Verde,50.9
Niger,50.8
Morocco,50.6
Lesotho,50.5
Comoros,49.7
Madagascar,49.2
Panama,49.1
Honduras,48.6
Tanzania,48.6
Colombia,48.5
Cameroon,47.9
Togo,47.9
Brazil,47.1
Kuwait,47.1
Bahamas,46.7
Guatemala,46.7
Guyana,46.7
Haiti,46.7
Jamaica,46.7
Nicaragua,46.7
Suriname,46.7
Trinidad and Tobago,46.7
Qatar,46.2
Rwanda,46.1
Lebanon,45.8
Saudi Arabia,45.6
Uganda,45.5
Zimbabwe,45.5
Burkina Faso,45.2
Bahrain,44.3
"Congo, Rep.",44.1
India,42.9
Yemen,41.8
Botswana,40.7
Angola,38.5
Zambia,38.3
Namibia,35.8
Mozambique,35.4
Central African Republic,35.1
South Africa,34.6
Eswatini,33.3
