Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,08-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.012598924,4.130796618,4.79098829,11.2591843,5.140044047,7.322855269,4.968985791,4.042385319,6.617982256,8.516507298,4.95360767,6.756175387,4.817053303,7.125146545,6.868008364,,
Africa Eastern and Southern,AFE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.164242053,5.091622083,6.327384126,6.159918817,5.859464532,6.643231976,6.873922754,6.042708157,5.150418883,6.286598576,5.698389557,5.846761861,
Afghanistan,AFG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
Africa Western and Central,AFW,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.911452613,5.086086358,3.815193453,4.733463208,5.602250716,5.415387629,,3.563753775,3.890730316,3.143223068,,
Angola,AGO,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.60448589,12.98830509,19.3839507,23.31277546,27.49650169,23.39462138,16.12695404,22.063504,23.47141394,16.68972069,
Albania,ALB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.328193532,1.464517204,1.016872916,0.922637019,0.890238022,0.257234804,1.634190367,0.784313365,0.088457922,0.044701983,0.128427413,0.285854496,0.419509989,0.059640998,0.682326849,1.52935345,
Andorra,AND,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.57168146,16.09083871,12.09678084,23.45580605,18.49017805,20.64765735,23.59478669,20.68648662,22.64556919,24.43091064,23.25131895,28.46039503,32.52159159,23.04060883,24.38067625,13.30766136,21.43463192,,
Arab World,ARB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.882813573,1.884957318,3.869307652,2.825548208,1.866951236,1.747899232,2.080795795,2.000645464,4.253374966,4.518778951,4.471280059,4.962554096,,
United Arab Emirates,ARE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.306515466,,,,3.766659993,3.607384386,10.16951897,5.301997688,2.619028405,2.84060044,2.903264325,2.998655779,5.377044928,8.957962657,9.287760224,8.960293974,,
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.96172315,9.328173532,9.029702872,7.68411002,7.321730602,6.636366956,7.458207449,7.061134904,9.22572828,8.98239948,9.20544177,5.402984101,5.212790589,6.903889256,4.422891393,4.751575243,5.449594406,3.850196975,
