Model,Outcome,Regressor,Coef,HC3_SE,t_stat,p_value,N,R2
M0,GovPay_Pct,const,-0.313,0.0351,-8.9159,4.8390e-19,145,0.5758
M0,GovPay_Pct,inc,0.763,0.0547,13.9454,3.3579e-44,145,0.5758
M1,GovPay_Pct,const,-0.2747,0.0399,-6.8881,5.6560e-12,145,0.5923
M1,GovPay_Pct,inc,0.4667,0.1287,3.6258,0.0003,145,0.5923
M1,GovPay_Pct,T,0.2594,0.0994,2.6108,0.0090,145,0.5923
M2,GovPay_Pct,const,-0.0641,0.0568,-1.1274,0.2596,145,0.6238
M2,GovPay_Pct,inc,0.1921,0.1404,1.3681,0.1713,145,0.6238
M2,GovPay_Pct,T,0.3444,0.0973,3.5392,0.0004,145,0.6238
M2,GovPay_Pct,Phi,-0.4624,0.1092,-4.2363,2.2720e-05,145,0.6238
M3,GovPay_Pct,const,-0.3157,0.1097,-2.8788,0.0040,145,0.6462
M3,GovPay_Pct,inc,0.2647,0.1427,1.855,0.0636,145,0.6462
M3,GovPay_Pct,T,0.5676,0.116,4.8949,9.8337e-07,145,0.6462
M3,GovPay_Pct,F,0.367,0.1163,3.1548,0.0016,145,0.6462
M3,GovPay_Pct,Phi,-0.8698,0.1776,-4.8973,9.7151e-07,145,0.6462
M3b,GovPay_Pct,const,-0.2249,0.1081,-2.0815,0.0374,145,0.5929
M3b,GovPay_Pct,inc,0.4309,0.1596,2.7005,0.0069,145,0.5929
M3b,GovPay_Pct,T,0.2425,0.0982,2.4708,0.0135,145,0.5929
M3b,GovPay_Pct,F,-0.0417,0.0732,-0.5706,0.5683,145,0.5929
M5,GovPay_Pct,const,-0.2424,0.1193,-2.0317,0.0422,145,0.6195
M5,GovPay_Pct,inc,0.4481,0.1379,3.2492,0.0012,145,0.6195
M5,GovPay_Pct,T_svc,0.2954,0.0846,3.494,0.0005,145,0.6195
M5,GovPay_Pct,F,0.1762,0.1147,1.536,0.1245,145,0.6195
M5,GovPay_Pct,Phi_svc,-0.5718,0.1594,-3.5864,0.0003,145,0.6195
M0,DigitalPay_Pct,const,-0.1842,0.0574,-3.207,0.0013,150,0.5599
M0,DigitalPay_Pct,inc,1.1132,0.0707,15.7508,6.7867e-56,150,0.5599
M1,DigitalPay_Pct,const,-0.0915,0.0643,-1.4239,0.1545,150,0.5983
M1,DigitalPay_Pct,inc,0.4212,0.2087,2.0181,0.0436,150,0.5983
M1,DigitalPay_Pct,T,0.6021,0.164,3.6704,0.0002,150,0.5983
M2,DigitalPay_Pct,const,-0.051,0.1176,-0.434,0.6643,150,0.5989
M2,DigitalPay_Pct,inc,0.3681,0.2341,1.5725,0.1158,150,0.5989
M2,DigitalPay_Pct,T,0.6191,0.1646,3.7617,0.0002,150,0.5989
M2,DigitalPay_Pct,Phi,-0.0917,0.251,-0.3654,0.7148,150,0.5989
M3,DigitalPay_Pct,const,-0.62,0.2003,-3.0955,0.0020,150,0.647
M3,DigitalPay_Pct,inc,0.5562,0.2338,2.3792,0.0174,150,0.647
M3,DigitalPay_Pct,T,1.0988,0.1982,5.5427,2.9776e-08,150,0.647
M3,DigitalPay_Pct,F,0.7951,0.2218,3.5842,0.0003,150,0.647
M3,DigitalPay_Pct,Phi,-0.9533,0.3318,-2.8736,0.0041,150,0.647
M3b,DigitalPay_Pct,const,-0.506,0.2065,-2.4503,0.0143,150,0.617
M3b,DigitalPay_Pct,inc,0.7212,0.2414,2.9871,0.0028,150,0.617
M3b,DigitalPay_Pct,T,0.7416,0.1801,4.1179,3.8239e-05,150,0.617
M3b,DigitalPay_Pct,F,0.3472,0.1663,2.0878,0.0368,150,0.617
M5,DigitalPay_Pct,const,-0.4295,0.2062,-2.0826,0.0373,150,0.6274
M5,DigitalPay_Pct,inc,0.8839,0.2312,3.8232,0.0001,150,0.6274
M5,DigitalPay_Pct,T_svc,0.5679,0.129,4.4029,1.0679e-05,150,0.6274
M5,DigitalPay_Pct,F,0.4496,0.2045,2.199,0.0279,150,0.6274
M5,DigitalPay_Pct,Phi_svc,-0.5839,0.3183,-1.8342,0.0666,150,0.6274
M0,MobileAccess_Pct,const,-0.3702,0.0474,-7.815,5.4982e-15,88,0.4924
M0,MobileAccess_Pct,inc,0.9592,0.0823,11.6614,2.0064e-31,88,0.4924
M1,MobileAccess_Pct,const,-0.2667,0.0576,-4.6304,3.6488e-06,88,0.5471
M1,MobileAccess_Pct,inc,0.3323,0.2153,1.5435,0.1227,88,0.5471
M1,MobileAccess_Pct,T,0.5018,0.1659,3.0251,0.0025,88,0.5471
M2,MobileAccess_Pct,const,-0.0802,0.0868,-0.924,0.3555,88,0.5783
M2,MobileAccess_Pct,inc,0.1256,0.232,0.5413,0.5883,88,0.5783
M2,MobileAccess_Pct,T,0.5553,0.167,3.3257,0.0009,88,0.5783
M2,MobileAccess_Pct,Phi,-0.4427,0.1601,-2.7656,0.0057,88,0.5783
M3,MobileAccess_Pct,const,-0.4517,0.2035,-2.2199,0.0264,88,0.6046
M3,MobileAccess_Pct,inc,0.3207,0.2376,1.3494,0.1772,88,0.6046
M3,MobileAccess_Pct,T,0.8546,0.2194,3.8954,9.8057e-05,88,0.6046
M3,MobileAccess_Pct,F,0.5035,0.2139,2.3533,0.0186,88,0.6046
M3,MobileAccess_Pct,Phi,-1.1157,0.2849,-3.9162,8.9966e-05,88,0.6046
M3b,MobileAccess_Pct,const,-0.126,0.1704,-0.739,0.4599,88,0.5517
M3b,MobileAccess_Pct,inc,0.2228,0.2544,0.876,0.3810,88,0.5517
M3b,MobileAccess_Pct,T,0.455,0.1711,2.6595,0.0078,88,0.5517
M3b,MobileAccess_Pct,F,-0.1082,0.1175,-0.9208,0.3572,88,0.5517
M5,MobileAccess_Pct,const,-0.3081,0.2118,-1.4544,0.1458,88,0.572
M5,MobileAccess_Pct,inc,0.5061,0.2214,2.2859,0.0223,88,0.572
M5,MobileAccess_Pct,T_svc,0.5002,0.1591,3.1438,0.0017,88,0.572
M5,MobileAccess_Pct,F,0.2544,0.2131,1.1938,0.2326,88,0.572
M5,MobileAccess_Pct,Phi_svc,-0.8037,0.285,-2.8195,0.0048,88,0.572
