Outcome,T_val,Marginal_Effect,HC3_SE,z_stat,p_value
GovPay_Pct,0.2,0.1931,0.0896,2.1561,0.0311
GovPay_Pct,0.4,0.0191,0.0709,0.2699,0.7872
GovPay_Pct,0.6,-0.1548,0.0675,-2.2932,0.0218
GovPay_Pct,0.8,-0.3288,0.0813,-4.0433,5.2700e-05
GovPay_Pct,0.95,-0.4592,0.099,-4.6371,3.5334e-06
DigitalPay_Pct,0.2,0.6044,0.1839,3.286,0.0010
DigitalPay_Pct,0.4,0.4137,0.1651,2.5059,0.0122
DigitalPay_Pct,0.6,0.2231,0.1717,1.299,0.1940
DigitalPay_Pct,0.8,0.0324,0.2013,0.161,0.8721
DigitalPay_Pct,0.95,-0.1106,0.2336,-0.4734,0.6360
