Country,Standard HDI Rank,rk_A_4in_Tadj,rk_B_3in_Tadj,rk_C_4in_rawEGDI,rk_D_3in_rawEGDI,d_A_4in_Tadj,d_B_3in_Tadj,d_C_4in_rawEGDI,d_D_3in_rawEGDI
Iceland,1,1.0,4.0,1.0,4.0,0.0,-3.0,0.0,-3.0
Norway,2,3.0,1.0,3.0,1.0,-1.0,1.0,-1.0,1.0
Netherlands,7,5.0,5.0,5.0,6.0,2.0,2.0,2.0,1.0
Denmark,4,7.0,3.0,7.0,3.0,-3.0,1.0,-3.0,1.0
Switzerland,2,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Canada,9,10.0,10.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0
South Korea,10,4.0,7.0,4.0,7.0,6.0,3.0,6.0,3.0
France,12,9.0,11.0,9.0,11.0,3.0,1.0,3.0,1.0
Finland,8,12.0,9.0,12.0,9.0,-4.0,-1.0,-4.0,-1.0
Germany,5,8.0,6.0,8.0,5.0,-3.0,-1.0,-3.0,0.0
Australia,6,6.0,8.0,6.0,8.0,0.0,-2.0,0.0,-2.0
Japan,11,11.0,12.0,11.0,12.0,0.0,-1.0,0.0,-1.0
China,13,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0
Indonesia,14,16.0,16.0,16.0,16.0,-2.0,-2.0,-2.0,-2.0
Morocco,16,15.0,14.0,15.0,14.0,1.0,2.0,1.0,2.0
Pakistan,19,18.0,19.0,18.0,19.0,1.0,0.0,1.0,0.0
Burkina Faso,20,19.0,20.0,19.0,20.0,1.0,0.0,1.0,0.0
Philippines,15,14.0,15.0,14.0,15.0,1.0,0.0,1.0,0.0
Nepal,18,17.0,18.0,17.0,18.0,1.0,0.0,1.0,0.0
Bangladesh,17,,17.0,,17.0,,0.0,,0.0
