Country,Raw EGDI (T),Non-Penetration (F)
Iceland,0.967,0.02051399230000006
Norway,0.931,0.009999974199999984
Netherlands,0.953,0.02993197280000004
Denmark,0.984,0.012244080300000015
Switzerland,0.9,0.026556337699999988
Canada,0.845,0.05854698179999995
South Korea,0.967,0.02584025219999997
France,0.874,0.13163642109999996
Finland,0.957,0.06486149249999995
Germany,0.938,0.07523623700000004
Australia,0.957,0.03883903500000008
Japan,0.935,0.14990097050000006
China,0.871,0.09400000000000008
Indonesia,0.799,0.30791634459999995
Morocco,0.684,0.08999999999999997
Pakistan,0.509,0.81065
Burkina Faso,0.289,0.7463879967
Philippines,0.762,0.22133003230000003
Nepal,0.578,0.5419319916
Bangladesh,0.656,0.5549725805
