Country,T,F,Tadj,R,Phi,rank_R,rank_Phi
Pakistan,0.509,0.81065,0.09637915000000001,5.281225244256667,0.41262085,1,1
Bangladesh,0.656,0.5549725805,0.29193798719200004,2.247052554926899,0.364062012808,3,2
Nepal,0.578,0.5419319916,0.26476330885519994,2.183081947794021,0.3132366911448,4,3
Indonesia,0.799,0.30791634459999995,0.5529748406646001,1.444912030789161,0.24602515933539998,5,4
Burkina Faso,0.289,0.7463879967,0.07329386895369999,3.9430310355503586,0.2157061310463,2,5
Philippines,0.762,0.22133003230000003,0.5933465153874,1.284241131006702,0.16865348461260002,6,6
Japan,0.935,0.14990097050000006,0.7948425925825,1.1763335391503351,0.14015740741750007,7,7
France,0.874,0.13163642109999996,0.7589497679586,1.1515913659883692,0.11505023204139996,8,8
China,0.871,0.09400000000000008,0.7891259999999999,1.1037527593818985,0.08187400000000007,9,9
Germany,0.938,0.07523623700000004,0.8674284096939999,1.0813572503705469,0.07057159030600003,11,10
Finland,0.957,0.06486149249999995,0.8949275516775,1.0693603054304766,0.06207244832249995,12,11
Morocco,0.684,0.08999999999999997,0.6224400000000001,1.0989010989010988,0.06155999999999998,10,12
Canada,0.845,0.05854698179999995,0.7955278003790001,1.0621878953789305,0.04947219962099996,13,13
Australia,0.957,0.03883903500000008,0.9198310435049999,1.0404084606161674,0.03716895649500007,14,14
Netherlands,0.953,0.02993197280000004,0.9244748299215999,1.030855539983516,0.028525170078400035,15,15
South Korea,0.967,0.02584025219999997,0.9420124761226,1.0265256825262556,0.02498752387739997,17,16
Switzerland,0.9,0.026556337699999988,0.87609929607,1.0272808162695868,0.02390070392999999,16,17
Iceland,0.967,0.02051399230000006,0.9471629694459,1.020943629759623,0.01983703055410006,18,18
Denmark,0.984,0.012244080300000015,0.9719518249847999,1.012395856158188,0.012048175015200014,19,19
Norway,0.931,0.009999974199999984,0.9216900240198,1.0101009837771662,0.009309975980199985,20,20
