Country,I_broadband,I_hitech
Iceland,0.7689642189149294,0.6787425449153606
Norway,0.9336099617809603,0.4013042438452552
Netherlands,0.8889558451536037,0.3831109720402343
Denmark,0.9047927260996652,0.2677823098459194
Switzerland,0.962350212877023,0.45850231797672336
Canada,0.8737455487686956,0.25589755281996945
South Korea,0.9568266046898048,0.47323007341051954
France,1.0,0.34986354442617784
Finland,0.7259637500816305,0.15183396465026863
Germany,0.9324349644512883,0.2779370602601673
Australia,0.7525848365809247,0.3947967391923498
Japan,0.7937572197037313,0.2673235342884005
China,0.9190457797038972,0.4152715492170301
Indonesia,0.09896763824278848,0.14197219313237255
Morocco,0.14427802571882492,0.08488404933345693
Pakistan,0.027866380725729657,0.029741653453242686
Burkina Faso,0.009440607143076285,0.059361824668256805
Philippines,0.13436336998861256,1.0
Nepal,0.21934231150486524,0.00965208962867818
Bangladesh,0.16216658246586171,
