Country,Formal Gini (T),Gini SE (raw),I_v2 (normalised),S_bal,S_int
Canada,0.303,0.65,0.0,0.6515,0.303
Australia,0.326,0.95,0.1020408163265305,0.6119795918367347,0.292734693877551
Indonesia,0.452,1.78,0.3843537414965986,0.5338231292517007,0.2782721088435374
France,0.299,0.91,0.0884353741496598,0.6052823129251701,0.2725578231292517
South Korea,0.314,1.08,0.1462585034013605,0.5838707482993197,0.2680748299319728
Japan,0.315,1.09,0.1496598639455782,0.5826700680272109,0.2678571428571428
Denmark,0.288,0.92,0.0918367346938775,0.5980816326530612,0.2615510204081632
Finland,0.262,0.76,0.0374149659863945,0.6122925170068028,0.2521972789115646
Norway,0.257,0.91,0.0884353741496598,0.5842823129251701,0.2342721088435374
Germany,0.309,1.37,0.2448979591836735,0.5320510204081632,0.2333265306122448
China,0.408,1.91,0.4285714285714285,0.4897142857142857,0.2331428571428571
Netherlands,0.2689999999999999,1.05,0.1360544217687075,0.5664727891156462,0.2324013605442176
Iceland,0.253,0.97,0.1088435374149659,0.572078231292517,0.2254625850340136
Switzerland,0.31,1.54,0.3027210884353741,0.503639455782313,0.216156462585034
Philippines,0.373,2.22,0.534013605442177,0.4194931972789115,0.1738129251700679
Burkina Faso,0.407,3.1,0.8333333333333334,0.2868333333333333,0.0678333333333333
Pakistan,0.345,3.02,0.8061224489795918,0.269438775510204,0.0668877551020408
Bangladesh,0.335,3.3,0.9013605442176872,0.2168197278911564,0.0330442176870748
Morocco,0.406,3.41,0.9387755102040816,0.2336122448979591,0.0248571428571428
Nepal,0.348,3.59,1.0,0.174,0.0
