Country,T,I_A (shadow),I_B (gini_se norm),S_bal_A,S_bal_B,S_int_A,S_int_B,Rank_S_int_A,Rank_S_int_B,Rank_delta
Indonesia,0.452,0.238,0.3843537414965986,0.607,0.5338231292517007,0.344424,0.2782721088435374,1,3,-2
China,0.408,0.203,0.4285714285714285,0.6024999999999999,0.48971428571428577,0.3251759999999999,0.23314285714285715,2,11,-9
Australia,0.326,0.057,0.10204081632653059,0.6345,0.6119795918367347,0.3074179999999999,0.292734693877551,3,2,1
Morocco,0.406,0.27,0.9387755102040817,0.5680000000000001,0.23361224489795918,0.29638,0.02485714285714284,4,19,-15
Philippines,0.373,0.207,0.534013605442177,0.583,0.4194931972789115,0.295789,0.17381292517006797,5,15,-10
Switzerland,0.31,0.051,0.30272108843537415,0.6295,0.503639455782313,0.29419,0.21615646258503401,6,14,-8
Japan,0.315,0.067,0.14965986394557826,0.624,0.5826700680272109,0.293895,0.26785714285714285,7,6,1
South Korea,0.314,0.076,0.14625850340136057,0.619,0.5838707482993197,0.290136,0.2680748299319728,8,5,3
Canada,0.303,0.045,0.0,0.629,0.6515,0.289365,0.303,9,1,8
Germany,0.309,0.068,0.2448979591836735,0.6204999999999999,0.5320510204081632,0.2879879999999999,0.23332653061224487,10,10,0
France,0.299,0.067,0.08843537414965986,0.616,0.6052823129251701,0.278967,0.2725578231292517,11,4,7
Denmark,0.288,0.059,0.09183673469387756,0.6145,0.5980816326530612,0.271008,0.26155102040816325,12,7,5
Netherlands,0.2689999999999999,0.063,0.1360544217687075,0.603,0.5664727891156462,0.2520529999999999,0.2324013605442176,13,12,1
Finland,0.262,0.066,0.03741496598639455,0.598,0.6122925170068028,0.2447079999999999,0.2521972789115646,14,8,6
Norway,0.257,0.064,0.08843537414965986,0.5965,0.5842823129251701,0.240552,0.2342721088435374,15,9,6
Bangladesh,0.335,0.29,0.9013605442176871,0.5225,0.21681972789115647,0.23785,0.03304421768707483,16,18,-2
Iceland,0.253,0.076,0.10884353741496597,0.5885,0.572078231292517,0.233772,0.22546258503401362,17,13,4
Burkina Faso,0.407,0.4379999999999999,0.8333333333333334,0.4845,0.2868333333333333,0.228734,0.06783333333333331,18,16,2
Pakistan,0.345,0.35,0.8061224489795918,0.4975,0.26943877551020406,0.2242499999999999,0.06688775510204081,19,17,2
Nepal,0.348,0.51,1.0,0.419,0.174,0.1705199999999999,0.0,20,20,0
