Country,Gini SE (raw),Shadow Econ (I),I_income_adj (approx.)
Canada,0.65,0.045,0.951
Australia,0.95,0.057,0.961
Indonesia,1.78,0.238,0.713
France,0.91,0.067,0.952
South Korea,1.08,0.076,0.937
Japan,1.09,0.067,0.931
Denmark,0.92,0.059,1.0
Finland,0.76,0.066,0.958
Norway,0.91,0.064,1.0
Germany,1.37,0.068,0.976
China,1.91,0.203,0.814
Netherlands,1.05,0.063,0.986
Iceland,0.97,0.076,0.988
Switzerland,1.54,0.051,1.0
Philippines,2.22,0.207,0.683
Burkina Faso,3.1,0.438,0.479
Pakistan,3.02,0.35,0.605
Bangladesh,3.3,0.29,0.671
Morocco,3.41,0.27,0.661
Nepal,3.59,0.51,0.583
