Country,OSI_2024,HCI_2024,TII_2024,T_egov,I_egov_absOSIminusTII,F_egov,Tadj_TF_published,Tadj_TIF_multiplicative,Tadj_TIF_scorefn,HDIFN_published,HDIFN_TIF_mult,HDIFN_TIF_scorefn,Rank_published,Rank_TIF_mult,Rank_TIF_scorefn,Signed_OSI_minus_TII
Iceland,0.908,0.995,0.998,0.967,0.08999999999999997,0.02051399230000006,0.9471629694459,0.861918302195769,0.9521620025666667,0.9354967233906979,0.9299987348026226,0.9358045537619606,1.0,1.0,1.0,-0.08999999999999997
Norway,0.912,0.917,0.965,0.931,0.052999999999999936,0.009999974199999984,0.9216900240198,0.8728404527467507,0.9560000086000001,0.9139887382482828,0.9108832547365806,0.9160789579980423,3.0,3.0,3.0,-0.052999999999999936
Netherlands,0.921,0.969,0.972,0.953,0.050999999999999934,0.02993197280000004,0.9244748299215999,0.8773266135955984,0.9573560090666667,0.8970239060435384,0.8940939487934763,0.8989854563294195,5.0,5.0,5.0,-0.050999999999999934
Denmark,0.999,0.958,0.997,0.984,0.0020000000000000018,0.012244080300000015,0.9719518249847999,0.9700079213348304,0.9899186399000001,0.8862244616930837,0.8861135796466003,0.8872395767344177,7.0,7.0,7.0,0.0020000000000000018
Switzerland,0.841,0.903,0.958,0.9,0.11699999999999999,0.026556337699999988,0.87609929607,0.77359567842981,0.9188145540999999,0.9198504579570833,0.912724635666936,0.9225913688273891,2.0,2.0,2.0,-0.11699999999999999
Canada,0.855,0.872,0.808,0.845,0.04699999999999993,0.05854698179999995,0.7955278003790001,0.7581379937611871,0.9131510060666667,0.8533121234940084,0.8507485591515642,0.8606981480523471,10.0,10.0,10.0,0.04699999999999993
South Korea,1.0,0.912,0.992,0.967,0.008000000000000007,0.02584025219999997,0.9420124761226,0.9344763763136191,0.9777199159333333,0.9005525550120803,0.9001005814228517,0.9026490422183557,4.0,4.0,4.0,0.008000000000000007
France,0.844,0.856,0.923,0.874,0.07900000000000007,0.13163642109999996,0.7589497679586,0.6989927362898706,0.8877878596333333,0.8573809070600105,0.8529823305760637,0.8658243960000656,9.0,9.0,9.0,-0.07900000000000007
Finland,0.91,0.984,0.979,0.957,0.06899999999999995,0.06486149249999995,0.8949275516775,0.8331775506117526,0.9410461691666666,0.8275233476624374,0.8238338089864392,0.8301263442956965,12.0,12.0,12.0,-0.06899999999999995
Germany,0.924,0.967,0.924,0.938,0.0,0.07523623700000004,0.8674284096939999,0.8674284096939999,0.9542545876666666,0.8786435634884803,0.8786435634884803,0.8838979880871598,8.0,8.0,8.0,0.0
Australia,0.922,1.0,0.951,0.957,0.028999999999999915,0.03883903500000008,0.9198310435049999,0.893155943243355,0.963053655,0.8905422715124346,0.8889058019585266,0.8931017499846149,6.0,6.0,6.0,-0.028999999999999915
Japan,0.943,0.912,0.951,0.935,0.008000000000000007,0.14990097050000006,0.7948425925825,0.78848385184184,0.9256996765,0.8352901863580227,0.8348709669560294,0.8432846406851948,11.0,11.0,11.0,-0.008000000000000007
China,0.926,0.79,0.9,0.871,0.026000000000000023,0.09400000000000008,0.7891259999999999,0.7686087239999999,0.9169999999999998,0.777681918375711,0.7764025198486114,0.7850158723046639,13.0,13.0,13.0,0.026000000000000023
Indonesia,0.803,0.729,0.864,0.799,0.06099999999999994,0.30791634459999995,0.5529748406646001,0.5192433753840595,0.8100278851333332,0.5570330091630291,0.5548460917336366,0.5704835081262875,16.0,16.0,16.0,-0.06099999999999994
Morocco,0.562,0.608,0.883,0.684,0.32099999999999995,0.08999999999999997,0.6224400000000001,0.4226367600000001,0.7576666666666668,0.5710629916989426,0.5574114392314571,0.578123081831314,15.0,15.0,15.0,-0.32099999999999995
Pakistan,0.704,0.35,0.475,0.509,0.22899999999999998,0.81065,0.09637915000000001,0.07430832465000001,0.4897833333333333,0.316427448964986,0.31132575400912965,0.35026799541223796,18.0,18.0,18.0,0.22899999999999998
Burkina Faso,0.338,0.167,0.364,0.289,0.025999999999999968,0.7463879967,0.07329386895369999,0.07138822836090379,0.5055373344333335,0.27194367774953365,0.271496291314867,0.30682929048596463,19.0,19.0,19.0,-0.025999999999999968
Philippines,0.805,0.726,0.755,0.762,0.050000000000000044,0.22133003230000003,0.5933465153874,0.56367918961803,0.8302233225666665,0.6326390314447444,0.6306141451454234,0.6460615441300033,14.0,14.0,14.0,0.050000000000000044
Nepal,0.448,0.521,0.765,0.578,0.317,0.5419319916,0.26476330885519994,0.18083333994810158,0.5730226694666666,0.41784969239923586,0.40801053864498893,0.43850768811535573,17.0,17.0,17.0,-0.317
Bangladesh,0.737,0.583,0.65,0.656,0.08699999999999997,0.5549725805,0.29193798719200004,0.26653938230629604,0.6713424731666667,,,,,,,0.08699999999999997
