Country,HiTech_Goods_USD,ICT_Services_USD,Total_Exports_USD,Year_HiTech,Year_ICT,Year_Total,Audit_Notes
Iceland,453683000,542605760.56168,13976264145.8727,2023,2023,2023,"SOURCE: World Bank WDI. Series TX.VAL.TECH.CD, BX.GSR.CCIS.CD, BX.GSR.GNFS.CD. Retrieval date: 2026-07-29. URL: https://databank.worldbank.org/source/world-development-indicators | All three series: 2023 data, no carry-forward required"
Norway,5969103927,4255664767.95852,232627582982.547,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Netherlands,107768604133,27716194260.4751,993372004173.453,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Denmark,15851279312,8971854111.37091,280471921517.877,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Switzerland,84443768583,21326793932.9654,651795489401.178,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Canada,41530542798,24677827300.9344,732341637571.464,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
South Korea,164678173896,15114100000,769158700000,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
France,115256032667,28760462230.0488,1052848125107.18,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Finland,5292503329,10980157959.8054,126229042034.118,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Germany,260043024452,50415761702.0222,1972532147531.41,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Australia,7767880136,2482079648.56131,448609949482.049,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Japan,102601446852,11760060207.5879,923487639370.709,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
China,825045389470,57967257522.42,3562879421743.18,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Indonesia,10509333468,2773687950.53509,291287449052.778,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Morocco,1723700823,2409316588.42158,61950547614.6316,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Pakistan,384348995,2718000000,36214547793.5698,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Burkina Faso,8323768,94173835.71201,5911810703.15565,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Philippines,37090950135,7098057491.41938,103588452867.836,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Nepal,3815787,119146473.5155,2755022706.75544,2022,2022,2022,"HiTech_Goods_USD: 2023 absent in WDI; per memo carry-forward rule, all three required series use 2022 for Nepal to avoid mixed years"
Bangladesh,,638213218.133134,47286557240.0214,,2023,2023,"Bangladesh coverage check: TX.VAL.TECH.CD is unavailable in WDI for 2020-2023, so HiTech_Goods_USD and Year_HiTech are left blank and not imputed; BX.GSR.CCIS.CD and BX.GSR.GNFS.CD are 2023 WDI values"
