Country,HiTech_Goods_USD,ICT_Services_USD,Total_Exports_USD,Year_HiTech,Year_ICT,Year_Total,Audit_Notes
Iceland,453683000,542605760.6,13976264146,2023,2023,2023,"SOURCE: World Bank WDI. Series TX.VAL.TECH.CD, BX.GSR.CCIS.CD, BX.GSR.GNFS.CD. Retrieval date: 2026-07-29. URL: https://databank.worldbank.org/source/world-development-indicators | All three series: 2023 data, no carry-forward required"
Norway,5969103927,4255664768,2.32628E+11,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Netherlands,1.07769E+11,27716194260,9.93372E+11,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Denmark,15851279312,8971854111,2.80472E+11,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Switzerland,84443768583,21326793933,6.51795E+11,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Canada,41530542798,24677827301,7.32342E+11,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
South Korea,1.64678E+11,15114100000,7.69159E+11,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
France,1.15256E+11,28760462230,1.05285E+12,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Finland,5292503329,10980157960,1.26229E+11,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Germany,2.60043E+11,50415761702,1.97253E+12,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Australia,7767880136,2482079649,4.4861E+11,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Japan,1.02601E+11,11760060208,9.23488E+11,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
China,8.25045E+11,57967257522,3.56288E+12,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Indonesia,10509333468,2773687951,2.91287E+11,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Morocco,1723700823,2409316588,61950547615,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Pakistan,384348995,2718000000,36214547794,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Burkina Faso,8323768,94173835.71,5911810703,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Philippines,37090950135,7098057491,1.03588E+11,2023,2023,2023,"All three series: 2023 data, no carry-forward required"
Nepal,3815787,121045910.3,3020124489,2022,2023,2023,"HiTech_Goods_USD: 2023 absent in WDI, carried forward from 2022 | YEAR MISMATCH: HiTech=2022.0, ICT=2023, Total=2023 — see memo watch-out on mixed years | All three series: 2023 data, no carry-forward required"
Bangladesh,,638213218.1,47286557240,,2023,2023,"HiTech_Goods_USD MISSING: Bangladesh has no TX.VAL.TECH.CD coverage in WDI 2020-2023; explicitly excluded per Step 1.3, not imputed | All three series: 2023 data, no carry-forward required"
